UPC1,Descrption,Price,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor ,GR,GC,VR,VC
606COW,Gold Skull,54.99,Accessory ,Jewelry ,Necklace,,,0,0,1,0
D4211,River and Sky Tunic,84,Apparel,Top,Tunic,,,0,0,1,0
H15143,White Hazel Top,78,Apparel,Top,,,,0,0,1,0
M2016G,Small Druzy Necklace,50,Accessory ,Jewelry ,Bracelet ,,Love Poppy,0,0,1,0
M2161,Love Poppy,50,Accessory ,Jewelry ,Necklace,,,0,0,1,0
M2161,Dainty Layer,50,Accessory ,,,,,0,0,1,0
M216C,Stretch Bracelet,47,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
M216C,Stretch Bracelet,47,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
M216C,Stretch Bracelet,47,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
M216L,All Gold layering Necklace,55,Accessory ,Jewelry ,Necklace,,,0,0,1,0
M216M,Love Poppy,69,Accessory ,Jewelry ,Necklace,,,0,0,1,0
M216M,Dainty Layer,69,Accessory ,,,,,0,0,1,0
M216S,Statement Necklace,84,Accessory ,Jewelry ,Necklace,,,0,0,1,0
M316C,Love Poppy Brac,46.99,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
M316C,Love Poppy Brac,46.99,Accessory ,Jewelry ,Bracelet ,,Love Poppy,0,0,1,0
M316C,Love Poppy Brac,46.99,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
M316J,Love Poppy Neck,65.99,Accessory ,Jewelry ,Necklace,,,0,0,1,0
M316S,Love Poppy Neck,84.99,Accessory ,Jewelry ,Necklace,,,0,0,1,0
MMAFFB2,Affirmation,32,Accessory ,Jewelry ,Bracelet ,,Metal Monk,0,0,1,0
MMAFFB2,Affirmation,32,Accessory ,Jewelry ,Bracelet ,,Metal Monk,0,0,1,0
MMAFFB2,Affirmation,32,Accessory ,Jewelry ,Bracelet ,,Metal Monk,0,0,1,0
MMAFFB2,Affirmation,32,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
MMBEE1,Bee,12,Accessory ,Jewelry ,Bracelet ,,Metal Monk,0,0,1,0
MMBEE1,Bee,12,Accessory ,Jewelry ,Bracelet ,,Metal Monk,0,0,1,0
MMBEE1,Bee,12,Accessory ,Jewelry ,Bracelet ,,Metal Monk,0,0,1,0
MMCHARM2,Charm Bracelet,28,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
MMCHARM2,Charm Bracelet,28,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
MMCHARM2,Charm Bracelet,28,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
N128,An Old Soul,86,Accessory ,Jewelry ,Necklace,,,0,0,1,0
N59,An Old Soul,56,Accessory ,Jewelry ,Necklace,,,0,0,1,0
RM216B,Macrame Bracelet w/ Accent,38,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
RM216B,Macrame Bracelet w/ Accent,38,Accessory ,Jewelry ,Bracelet ,,,0,0,1,0
RM216P,Macrame Bangle,33,Accessory ,Jewelry ,Bracelet ,,Metal Monk,0,0,1,0
RM216P,Macrame Bangle,33,Accessory ,Jewelry ,Bracelet ,,Metal Monk,0,0,1,0
S3HP10354BHN,Mayberry Dress,72.99,Apparel,Dress,,,,0,0,1,0
T6559A231,,118.99,Apparel,,,,,0,0,1,0
T6559A231,,118.99,Apparel,,,,,0,0,1,0
