UPC1,Descrption,Price,QOH,Tax,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor 
40007575001,Kabuki Handcreme,20,1,Yes,Bath/Body,Handcreme,,,
40007575001,Kabuki Handcreme,20,1,Yes,Bath/Body,Handcreme,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
84261205329,,8,1,Yes,Giftware,Wrapping,,,
84261205330,,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
84261204966,,8,1,Yes,Giftware,Wrapping,,,
84261200004,,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
84261200004,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40006750001,Wrapping Paper,8,1,Yes,Giftware,Wrapping,,,
40007224001,Small Tile,45,1,Yes,Giftware,,,,
40007224001,Small Tile,45,1,Yes,Giftware,,,,
40007246001,Card Art,24,1,Yes,Giftware,,,,
40007757001,Toothie Shark,25,1,Yes,Giftware,,,,
40007752001,Bashful Pony Pinto,22,1,Yes,Giftware,,,,
40007752001,Bashful Pony Pinto,22,1,Yes,Giftware,,,,
40000004081,PPLA Blue Becky Tee,65,1,Yes,Apparel,Top,,,
40000004081,PPLA Blue Becky Tee,65,1,Yes,Apparel,Top,,,
40000004080,PPLA Seafoam Tank,55,1,Yes,Apparel,Top,,,
40007379001,Serious Issues Journal,16,1,Yes,Stationary,,,,
