UPC1,Descrption,Price,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor ,GR,GC,VR,VC
40000004507,Y@H Lawn Slvless Tank,59.99,Apparel,Top,,,,0,0,1,0
40000004507,Y@H Lawn Slvless Tank,59.99,Apparel,Top,,,,0,0,0,1
40000004507,Y@H Lawn Slvless Tank,59.99,Apparel,Top,,,,0,0,0,1
40000004508,Mumu Pete Tunic Rainforest,139.99,Apparel,,,,,0,0,1,0
40000004508,Mumu Pete Tunic Rainforest,139.99,Apparel,,,,,0,0,1,0
40000004508,Mumu Pete Tunic Rainforest,139.99,Apparel,,,,,0,0,1,0
40000004508,Mumu Pete Tunic Rainforest,139.99,Apparel,,,,,0,0,1,0
40000004508,Mumu Pete Tunic Rainforest,139.99,Apparel,Top,Tunic,,Mumu,0,0,0,1
40000004508,Mumu Pete Tunic Rainforest,139.99,Apparel,Top,Tunic,,Mumu,0,0,0,1
40000004508,Mumu Pete Tunic Rainforest,139.99,Apparel,Top,Tunic,,Mumu,0,0,0,1
40000004508,Mumu Pete Tunic Rainforest,139.99,Apparel,Top,Tunic,,Mumu,0,0,0,1
40000004509,Mumu Garrett Tank Jungle Juice,134.99,Apparel,,,,,0,0,1,0
40000004509,Mumu Garrett Tank Jungle Juice,134.99,Apparel,,,,,0,0,1,0
40000004509,Mumu Garrett Tank Jungle Juice,134.99,Apparel,,,,,0,0,1,0
40000004509,Mumu Garrett Tank Jungle Juice,134.99,Apparel,,,,,0,0,1,0
40000004509,Mumu Garrett Tank Jungle Juice,134.99,Apparel,Top,Tank,,Mumu,0,0,0,1
40000004509,Mumu Garrett Tank Jungle Juice,134.99,Apparel,Top,Tank,,Mumu,0,0,0,1
40000004509,Mumu Garrett Tank Jungle Juice,134.99,Apparel,Top,Tank,,Mumu,0,0,0,1
40000004510,Mumu Circus Mini Dress,154.99,Apparel,,,,,0,0,1,0
40000004510,Mumu Circus Mini Dress,154.99,Apparel,,,,,0,0,1,0
40000004510,Mumu Circus Mini Dress,154.99,Apparel,,,,,0,0,1,0
40000004510,Mumu Circus Mini Dress,154.99,Apparel,Dress,,,Mumu,0,0,0,1
40000004510,Mumu Circus Mini Dress,154.99,Apparel,Dress,,,Mumu,0,0,0,1
40000004510,Mumu Circus Mini Dress,154.99,Apparel,Dress,,,Mumu,0,0,0,1
40000004511,Mumu Banna Split Pants,145.99,Apparel,,,,,0,0,1,0
40000004511,Mumu Banna Split Pants,145.99,Apparel,,,,,0,0,1,0
40000004511,Mumu Banna Split Pants,145.99,Apparel,,,,,0,0,1,0
40000004511,Mumu Banna Split Pants,145.99,Apparel,Bottom,,,Mumu,0,0,0,1
40000004511,Mumu Banna Split Pants,145.99,Apparel,Bottom,,,Mumu,0,0,0,1
40000004512,Mumu Sawyer Short Rainforest,109.99,Apparel,,,,,0,0,1,0
40000004512,Mumu Sawyer Short Rainforest,109.99,Apparel,,,,,0,0,1,0
40000004512,Mumu Sawyer Short Rainforest,109.99,Apparel,,,,,0,0,1,0
40000004512,Mumu Sawyer Short Rainforest,109.99,Apparel,,,,,0,0,1,0
40000004512,Mumu Sawyer Short Rainforest,109.99,Apparel,Bottom,,,Mumu,0,0,0,1
40000004512,Mumu Sawyer Short Rainforest,109.99,Apparel,Bottom,,,Mumu,0,0,0,1
40000004512,Mumu Sawyer Short Rainforest,109.99,Apparel,Bottom,,,Mumu,0,0,0,1
40000004512,Mumu Sawyer Short Rainforest,109.99,Apparel,Bottom,,,Mumu,0,0,0,1
40000004512,Mumu Sawyer Short Rainforest,109.99,Apparel,Bottom,,,Mumu,0,0,0,1
40000004512,Mumu Sawyer Short Rainforest,109.99,Apparel,Bottom,,,Mumu,0,0,0,1
40000004513,Mumu Katy Halter Dress Topical,154.99,Apparel,,,,,0,0,1,0
40000004513,Mumu Katy Halter Dress Topical,154.99,Apparel,,,,,0,0,1,0
40000004513,Mumu Katy Halter Dress Topical,154.99,Apparel,,,,,0,0,1,0
40000004513,Mumu Katy Halter Dress Topical,154.99,Apparel,,,,,0,0,1,0
40000004513,Mumu Katy Halter Dress Topical,154.99,Apparel,Dress,,,Mumu,0,0,0,1
40000004513,Mumu Katy Halter Dress Topical,154.99,Apparel,Dress,,,Mumu,0,0,0,1
40000004513,Mumu Katy Halter Dress Topical,154.99,Apparel,Dress,,,Mumu,0,0,0,1
40000004514,Red Coat with Sequin,49.99,Apparel,Top,,,,1,0,0,0
40000004514,Red Coat with Sequin,49.99,Apparel,Top,,,,1,0,0,0
40000004514,Red Coat with Sequin,49.99,Apparel,Top,,,,1,0,0,0
40000004514,Red Coat with Sequin,49.99,Apparel,Top,,,,0,1,0,0
40000004515,Moto Jacket Grey,49.99,Apparel,Top,,,,1,0,0,0
40000004515,Moto Jacket Grey,49.99,Apparel,Top,,,,1,0,0,0
40000004515,Moto Jacket Grey,49.99,Apparel,Top,,,,1,0,0,0
40000004515,Moto Jacket Grey,49.99,Apparel,Top,,,,0,1,0,0
40000004516,Denim Tie Dress,54.99,Apparel,Dress,,,,1,0,0,0
