UPC1,Descrption,Price,QOH,Tax,Category,SubCategory ,SubCategory2,SubCategory3 ,Vendor 
40000004544,Lilywood 25oz,45,1,Yes,Giftware ,Bottle,,,Swell
40000004542,Ocean Blue Shimmer 25oz,45,1,Yes,Giftware ,Bottle,,,Swell
40000003980,Cowboy Belt Sand,80,1,Yes,Accessory ,Belt,,Leather,Cowboy Belt Co
40000003990,Stilt Roll Up,235,5,Yes,Apparel ,Bottom,Pant,Denim,AG
40000003978,Cowboy Belt Sky Blue,56,1,Yes,Accessory ,Belt ,,Leather,Cowboy Belt Co
40000003988,Stilt Roll Up,178,5,Yes,Apparel ,Bottom,Pant,Denim,AG
40000004378,Bella Dahl Flowy Cami,129.99,2,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004402,Tart Flora Top,105.99,3,Yes,Apparel ,Top,Shirt,Sleeveless,Tart Collection 
40000004380,Bella Dahl Pullover White Tuni,142.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004165,PPLA Top,54.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,PPLA
40007744001,MellyMoo Little,16,1,Yes,Giftware ,Stuffed Animal ,,,Jelly Cat 
40000003977,Cowboy Belt Peach,46,1,Yes,Accessory ,Belt,,Leather,Cowboy Belt Co
40000004074,Low Rise Ankle Crop,218,1,Yes,Apparel ,Bottom,Ankle,Denim,J Brand 
40000004074,Low Rise Ankle Crop,218,1,Yes,Apparel ,Bottom,Ankle,Denim,J Brand 
40000004074,Low Rise Ankle Crop,218,1,Yes,Apparel ,Bottom,Ankle,Denim,J Brand 
40000004074,Low Rise Ankle Crop,218,1,Yes,Apparel ,Bottom,Ankle,Denim,J Brand 
40000004074,Low Rise Ankle Crop,218,1,Yes,Apparel ,Bottom,Ankle,Denim,J Brand 
40000003976,Cowboy Belt Camel,46,1,Yes,Apparel ,Belt,,Leather,Cowboy Belt Co
40008045001,Low Rise Cropped,198,1,Yes,Apparel ,Bottom,Crop,Denim,J Brand 
40000004015,Sadey Slim,258,1,Yes,Apparel ,Bottom,Pant,Denim,AG
40000004015,Sadey Slim,258,1,Yes,Apparel ,Bottom,Pant,Denim,AG
40000004015,Sadey Slim,258,1,Yes,Apparel ,Bottom,Pant,Denim,AG
40000004015,Sadey Slim,258,1,Yes,Apparel ,Bottom,Pant,Denim,AG
1396435525,Gift Tags ,1,4,Yes,Giftware ,,,,Papaya
3752,Necklace,39,1,Yes,Accessory ,Jewelry,Necklace,,LA Product 
40000004225,Large Pocket Pullover,129.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004225,Large Pocket Pullover,129.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004225,Large Pocket Pullover,129.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004375,Bella Dahl Split Back Halter,84.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004375,Bella Dahl Split Back Halter,84.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl 
40000004375,Bella Dahl Split Back Halter,84.99,1,Yes,Apparel ,Top,Shirt,Sleeveless,Bella Dahl
