# ----------------------------------------
# main (3DMedia IPs blocked)
# Location
# 20160101-20160131
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
Iran,73,84.93%,62,28.77%,3.53,00:01:44,0,$0.00,0.00%
(not set),72,97.22%,70,29.17%,2.47,00:00:19,0,$0.00,0.00%
Netherlands,66,83.33%,55,34.85%,1.79,00:02:43,0,$0.00,0.00%
Egypt,62,91.94%,57,59.68%,2.11,00:00:51,0,$0.00,0.00%
Spain,61,81.97%,50,49.18%,2.10,00:01:43,0,$0.00,0.00%
Turkey,59,94.92%,56,61.02%,2.32,00:00:57,0,$0.00,0.00%
Australia,54,87.04%,47,46.30%,1.94,00:00:29,0,$0.00,0.00%
Italy,54,96.30%,52,50.00%,2.74,00:01:06,0,$0.00,0.00%
Indonesia,52,94.23%,49,67.31%,1.42,00:01:10,0,$0.00,0.00%
Brazil,46,95.65%,44,71.74%,2.22,00:00:46,0,$0.00,0.00%
Mexico,42,95.24%,40,52.38%,2.45,00:01:03,0,$0.00,0.00%
Philippines,38,97.37%,37,68.42%,2.00,00:00:34,0,$0.00,0.00%
Poland,37,91.89%,34,37.84%,2.62,00:01:42,0,$0.00,0.00%
South Africa,37,91.89%,34,70.27%,1.76,00:00:56,0,$0.00,0.00%
,"8,416",92.72%,"7,803",57.95%,2.10,00:00:52,0,$0.00,0.00%
