UPC1, Item, Descrption, Price, Cost, Category, SubCategory, SubCategory2, SubCategory3, Vendor, Gigis-Raleigh, Gigis-Cary, Violet-Rareigh, Violet-CaryTotal Inventory
40000004305 ,    S8MT58252 ,  PPLA Top  , 62 , $28.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 1 , 4 , 5
40000004306 ,     D1998SAG ,  PPLA Top  , 79 , $36.00  ,  Apparel  ,  Top  ,    ,    ,  PPLA  , 0 , 0 , 0 , 2 , 2
40000004307 ,     JT521INT ,  PPLA Top  , 72 , $32.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 0 , 2 , 2
40000004310 ,     S8H19061 ,  PPLA Top  , 57 , $26.00  ,  Apparel   ,  Top  ,    ,    ,  PPLA  , 0 , 0 , 3 , 2 , 5
40000004311 ,       ANNOCA ,  Groceries Dress  , 79 , $35.55  ,  Apparel  ,  Dress  ,    ,    ,  Groceries  , 0 , 0 , 0 , 4 , 4
40000004312 ,       SFDL65 ,  Groceries Dress  , 69 , $31.95  ,  Apparel  ,  Dress  ,    ,    ,  Groceries   , 0 , 0 , 1 , 2 , 3
40000004313 ,       J48701 ,  J Brand  , 248 , - ,  Apparel  ,  Bottom  ,  Pants  ,  Denim  ,  J Brand  , 0 , 0 , 0 , 5 , 5
40000004314 , 1742 ,  Head Bands of Hope  , 22 , $12.00  ,  Accessory   ,  Handband   ,    ,    ,  Handbands of Hope   , 0 , 0 , 33 , 47 , 80
40000004315 ,       KA0000 ,  Karma Socks  , 9 , $3.25  ,  Footwear   ,  Sock  ,    ,    ,    , 0 , 0 , 6 , 6 , 12
40000004316 ,       KA1018 ,  Karma Mugs  , 19 , $6.95  ,  Giftware   ,  Mug  ,    ,    ,  Karma  , 0 , 0 , 2 , 1 , 3
40000004317 ,     CT1714-2 ,  Caramela Lace Top  , 42 , $16.00  ,  Apparel  ,  Top  ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004318 ,     CT1734-S ,  Caramela Blush Top  , 42 , $15.50  ,  Apparel  ,  Top  ,    ,    ,    , 1 , 1 , 0 , 0 , 2
40000004319 ,     CT1769-1 ,  Caramela Peach/Orange Top  , 42 , $15.50  ,  Apparel  ,  Top  ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004320 ,     CT1804-S ,  Caramela Neon Royal Top  , 42 , $15.50  ,  Apparel  ,  Top  ,    ,    ,    , 1 , 1 , 0 , 0 , 2
40000004321 ,     CT1875-1 ,  Caramela Navy Top  , 42 , $15.50  ,  Apparel  ,  Top  ,    ,    ,    , 2 , 0 , 0 , 0 , 2
40000004322 ,        D5032 ,  Tangerine Dress  , 132 , $60.00  ,  Apparel  ,  Dress  ,    ,    ,    , 0 , 0 , 1 , 2 , 3
40000004323 ,        T5031 ,  Tangerine Tank  , 99 , $46.00  ,  Apparel  ,  Top  ,  Tank  ,    ,    , 0 , 0 , 1 , 3 , 4
40000004324 ,       T5034E ,  Tangerine Beaded Tank  , 139 , $65.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 1 , 3 , 4
40000004325 ,        T5041 ,  Tangerine Tank  , 95 , $42.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 1 , 1 , 2
40000004326 ,     CT1797-S ,  Caramela White Top  , 42 , $15.50  ,  Apparel  ,  Bottom  ,    ,    ,    , 0 , 1 , 0 , 0 , 1
40000004327 ,     OB499892 ,  Free People  , 68 , $31.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
40000004328 ,     OB510660 ,  Free People  , 128 , $58.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 4 , 6
40000004329 ,     OB519386 ,  Free People  , 98 , $44.00  ,  Apparel  ,    ,    ,    ,  Free People  , 0 , 0 , 1 , 3 , 4
40000004330 ,     OB519910 ,  Free People  , 98 , $44.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 6 , 11 , 17
40000004331 ,        JT521 ,  PPLA  , 72 , $32.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
40000004332 ,      103121P ,  GoodHyouman  , 42 , $17.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 1 , 3
40000004333 ,      103131P ,  GoodHyouman  , 42 , $16.50  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 4 , 4 , 8
40000004335 ,      114102P ,  GoodHyouman  , 42 , $16.50  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 5 , 0 , 5
40000004336 ,       ABS032 ,  A&B Handbags  , 64 , $25.00  ,  Accessory   ,  Handbag  ,    ,    ,    , 0 , 0 , 1 , 2 , 3
40000004337 ,       ABT036 ,  A&B Handbags  , 64 , $25.50  ,  Accessory   ,  Handbags  ,    ,    ,  America&Beyond   , 0 , 0 , 1 , 2 , 3
40000004338 ,       ABT070 ,  A&B Handbags  , 49 , $20.00  ,  Accessory   ,  Handbags  ,    ,    ,  America&Beyond   , 0 , 0 , 1 , 2 , 3
40000004339 ,      ABLC016 ,  A&B Handbags  , 49 , $20.00  ,  Accessory  ,  Handbag  ,    ,    ,    , 0 , 0 , 0 , 2 , 2
40000004340 ,      ABCL050 ,  A&B Handbags  , 49 , $20.00  ,  Accessory   ,  Handbag  ,    ,    ,  America&Beyond  , 0 , 0 , 1 , 2 , 3
40000004341 ,      ABCL041 ,  A&B Handbags  , 49 , $21.00  ,  Giftware  ,  Candle  ,    ,    ,    , 0 , 0 , 1 , 2 , 3
40000004342 ,      WRO-200 ,  Yosi E-Run  , 55 , $24.00  ,  Footwear   ,  Flip Flop  ,    ,    ,  Yosi  , 0 , 0 , 1 , 0 , 1
40000004343 ,       CD2275 ,  PPLA Ponderosa Dress  , 59 , $26.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
40000004344 ,       BA3957 ,  Blu Pepper Woven Pant  , 42 , $16.00  ,  Apparel  ,  Bottom  ,    ,    ,    , 3 , 1 , 0 , 0 , 4
40000004346 ,       BA5849 ,  Blu Pepper Woven Skirt  , 34 , $13.00  ,  Apparel  ,  Bottom  ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004348 ,       SJ2651 ,  Blu Pepper Woven Dress  , 32 , $12.00  ,  Apparel  ,  Dress  ,    ,    ,    , 0 , 1 , 0 , 0 , 1
40000004350 ,       SJ3121 ,  Blu Pepper Top  , 24 , $10.00  ,  Apparel  ,  Top  ,    ,    ,    , 1 , 0 , 0 , 0 , 1
40000004351 ,       SJ3189 ,  Blu Pepper Top  , 24 , $9.00  ,  Apparel  ,  Top  ,    ,    ,    , 1 , 0 , 0 , 0 , 1
40000004352 ,     OB519435 ,  Free People  , 108 , $49.00  ,  Apparel  ,    ,    ,    ,  Free People  , 0 , 0 , 1 , 3 , 4
40000004353 ,        MM611 ,  Mumu North Shore  , 104 , $52.00  ,  Apparel  ,  Top  ,    ,    ,  Mumu  , 0 , 0 , 4 , 2 , 6
40000004354 ,       MM6136 ,  Mumu Lava Lava Graphic  , 72 , $35.00  ,  Apparel  ,  Top  ,    ,    ,  Mumu  , 0 , 0 , 2 , 3 , 5
40000004355 ,       MM6138 ,  Mumu Boca Raton  , 124 , $62.00  ,  Apparel  ,  Top  ,    ,    ,  Mumu  , 0 , 0 , 2 , 2 , 4
40000004356 ,       MM6185 ,  Mumu Pretty as a Peach  , 89 , $44.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 2 , 3 , 5
40000004357 ,       MM6188 ,  Mumu Oliver Tree Graphic  , 69 , $30.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 1 , 2
40000004358 ,       MM6239 ,  Mumu Mae Mu  , 119 , $58.00  ,  Apparel  ,  Top  ,    ,    ,  Mumu  , 0 , 0 , 3 , 4 , 7
40000004359 ,        MM628 ,  Mumu Gomez Mini dress  , 124 , $62.00  ,  Apparel  ,  Dress  ,    ,    ,  Mumu  , 0 , 0 , 3 , 3 , 6
40000004360 ,        MM652 ,  Mumu North Shore  , 135 , $68.00  ,  Apparel  ,  Top  ,    ,    ,  Mumu  , 0 , 0 , 3 , 1 , 4
40000004361 ,        MM660 ,  Mumu Tutti Frutti  , 116 , $58.00  ,  Apparel  ,  Top  ,    ,    ,  Mumu  , 0 , 0 , 2 , 1 , 3
40000004364 ,        T5188 ,  Entro  , 39 , $13.75  ,  Apparel  ,  Top  ,    ,    ,    , 1 , 0 , 0 , 0 , 1
40000004365 ,        D4008 ,  Entro  , 48 , $18.50  ,  Apparel  ,  Top  ,    ,    ,    , 2 , 1 , 0 , 0 , 3
40000004366 ,    EAO891904 ,  Eight Sixty  , 132 , $60.00  ,  Apparel  ,  Dress  ,  Maxi  ,    ,  Eight Sixty  , 0 , 0 , 0 , 2 , 2
40000004367 ,    EBD891771 ,  Eight Sixty  , 149 , $68.00  ,  Apparel  ,  Dress  ,  Maxi  ,    ,  Eight Sixty  , 0 , 0 , 0 , 5 , 5
40000004375 ,     B2109669 ,  Bella Dahl Split Back Halter  , 84 , $38.00  ,  Apparel   ,  Top  ,  Shirt  ,  Sleeveless  ,  Bella Dahl   , 0 , 0 , 3 , 4 , 7
40000004376 ,     B2143669 ,  Bella Dahl Hankerchief Popover  , 79 , $36.00  ,  Apparel   ,  Top  ,    ,    ,  Bella Dahl  , 0 , 0 , 2 , 3 , 5
40000004377 ,     B2150734 ,  Bella Dahl LArge Pocket Pullov  , 149 , $69.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 4 , 3 , 7
40000004378 ,     B2163734 ,  Bella Dahl Flowy Cami  , 129 , $58.00  ,  Apparel   ,  Top  ,  Shirt  ,  Sleeveless  ,  Bella Dahl   , 0 , 0 , 1 , 4 , 5
40000004379 ,     B6693549 ,  Bella Dahl Cross Back Romper  , 159 , $68.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 3 , 4 , 7
40000004380 ,     B2850874 ,  Bella Dahl Pullover White Tuni  , 142 , $64.00  ,  Apparel   ,  Top  ,  Shirt  ,  Sleeveless  ,  Bella Dahl   , 0 , 0 , 1 , 0 , 1
40000004381 ,     B3627874 ,  Bella Dahl Rose Shorts  , 79 , $36.00  ,  Apparel  ,  Bottom  ,  Shorts  ,    ,    , 0 , 0 , 1 , 0 , 1
40000004382 ,     B6771874 ,  Bella Dahl Lace Up Dress  , 149 , $68.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 5 , 6
40000004383 ,      DS21010 ,  Young At Heart Stripe Tank  , 64 , $29.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 3 , 5
40000004384 ,       G20948 ,  Young At Heart Gauze Strappy T  , 75 , $34.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 0 , 3 , 3 , 6
40000004385 ,      CNS1003 ,  Young At Heart Bralette  , 24 , $11.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 3 , 5
40000004386 ,        L1120 ,  Fidelity Mila Crop  , 245 , $108.00  ,  Apparel  ,  Bottom  ,  Crop  ,    ,  Fidelity   , 0 , 0 , 0 , 2 , 2
40000004387 , 1018 ,  Fidelity Axl Crop  , 189 , $85.00  ,  Apparel  ,  Bottom  ,  Crop  ,    ,  Fidelity   , 0 , 0 , 0 , 5 , 5
40000004388 ,        L1075 ,  Fidelity Heatherette Jacket  , 245 , $116.00  ,  Apparel  ,  Top  ,  Jacket  ,  Denim  ,    , 0 , 0 , 0 , 2 , 2
40000004389 , 287011 ,  Mamie Ruth Sunday Ticket Tee  , 59 , $27.00  ,  Apparel  ,  Top  ,  Tshirt  ,    ,  Mamie Ruth  , 0 , 0 , 1 , 4 , 5
40000004390 ,      DW5813L ,  Wishlist Loose Front Tunic  , 48 , $18.95  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 1 , 0 , 0 , 1
40000004392 ,      DW7451E ,  Wishlist Loose Front Tunic  , 39 , $15.95  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 1 , 0 , 0 , 1
40000004393 ,       TK420E ,  Wishlist V-Neck Top  , 39 , $13.95  ,  Apparel  ,  Top  ,    ,    ,    , 5 , 1 , 0 , 0 , 6
40000004394 ,      TW5881S ,  Wishlist Basic Ruffled Hem Top  , 34 , $13.00  ,  Apparel  ,  Top  ,    ,    ,    , 0 , 1 , 0 , 0 , 1
40000004395 ,      TW7724E ,  Wishlist Strappy Back Top  , 39 , $14.95  ,  Apparel  ,  Top  ,    ,    ,    , 7 , 1 , 0 , 0 , 8
40000004396 ,       NL2542 ,  Level 99 Wide Leg  , 119 , $53.99  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 8 , 10 , 18
40000004397 ,       T10018 ,  Tart Water Tara Dress  , 142 , $64.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 1 , 3
40000004398 ,      T100181 ,  Tart Rainbow Tara Dress  , 142 , $64.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 0 , 1
40000004399 ,       T10369 ,  Tart Henrietta Dress  , 149 , $68.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 3 , 2 , 5
40000004400 ,       T10386 ,  Tart Jill Dress  , 162 , $74.00  ,  Apparel   ,  Dress  ,    ,    ,  Tart Collection   , 0 , 0 , 2 , 2 , 4
40000004401 ,        T6542 ,  Tart Susannah Top  , 105 , $48.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 2 , 4 , 6
40000004402 ,        T6550 ,  Tart Flora Top  , 105 , $48.00  ,  Apparel   ,  Top  ,  Shirt  ,  Sleeveless  ,  Tart Collection   , 0 , 0 , 1 , 2 , 3
40000004403 ,        T6556 ,  Tart Olympia Top  , 119 , $54.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 3 , 3 , 6
40000004404 ,        T7298 ,  Tart Adalyn Pant  , 127 , $58.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 3 , 0 , 3
40000004405 ,       T7298B ,  Tart Adalyn Pant  , 127 , $58.00  ,  Apparel  ,  Bottom  ,  Crop  ,    ,  Tart Collection  , 0 , 0 , 1 , 5 , 6
40000004406 ,        T9561 ,  Tart Olga Blazer  , 149 , $68.00  ,  Apparel  ,    ,    ,    ,    , 0 , 0 , 1 , 1 , 2
40000004407 ,      52214-N ,  Navy Multi JKT  , 75 , $30.95  ,  Apparel  ,  Top  ,    ,    ,    , 3 , 1 , 0 , 0 , 4
40000004408 ,      7G143-R ,  Rust Combo  , 49 , $20.95  ,  Apparel  ,  Top  ,    ,    ,    , 2 , 1 , 0 , 0 , 3
