Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"4,364",94.43%,"4,121",60.82%,1.81,0:00:38,0,4364.00 ,0.00%
United States,802,94.14%,755,55.36%,3.06,0:01:04,0,1802.00 ,0.00%
Bangladesh,245,94.29%,231,57.55%,2.15,0:00:47,0,1245.00 ,0.00%
United Kingdom,193,92.23%,178,46.63%,3.07,0:01:22,0,1193.00 ,0.00%
Germany,162,92.59%,150,60.49%,2.35,0:00:56,0,1162.00 ,0.00%
Russia,148,33.78%,50,20.95%,2.89,0:04:04,0,1148.00 ,0.00%
Sri Lanka,133,96.24%,128,66.92%,1.68,0:00:28,0,1133.00 ,0.00%
Pakistan,124,94.35%,117,45.16%,2.38,0:01:08,0,1124.00 ,0.00%
Algeria,111,96.40%,107,48.65%,2.5,0:01:20,0,1111.00 ,0.00%
Canada,106,91.51%,97,61.32%,2.24,0:01:05,0,1106.00 ,0.00%
France,91,86.81%,79,68.13%,1.75,0:00:48,0,1091.00 ,0.00%
Italy,86,91.86%,79,41.86%,2.44,0:00:49,0,1086.00 ,0.00%
Iran,77,88.31%,68,45.45%,3.14,0:01:40,0,1077.00 ,0.00%
Australia,62,95.16%,59,53.23%,2.21,0:00:59,0,1062.00 ,0.00%
Brazil,60,95.00%,57,66.67%,2.02,0:01:20,0,1060.00 ,0.00%
Spain,58,93.10%,54,60.34%,2.36,0:01:06,0,1058.00 ,0.00%
Netherlands,54,74.07%,40,66.67%,1.65,0:00:41,0,1054.00 ,0.00%
Egypt,52,96.15%,50,71.15%,1.83,0:00:43,0,1052.00 ,0.00%
Indonesia,49,95.92%,47,63.27%,1.86,0:01:02,0,1049.00 ,0.00%
(not set),47,93.62%,44,48.94%,2,0:00:14,0,1047.00 ,0.00%
Mexico,45,97.78%,44,68.89%,2.6,0:01:19,0,1045.00 ,0.00%
Turkey,42,88.10%,37,52.38%,2,0:01:11,0,1042.00 ,0.00%
Philippines,39,97.44%,38,58.97%,2.1,0:00:53,0,1039.00 ,0.00%
South Africa,39,94.87%,37,53.85%,2.15,0:00:36,0,1039.00 ,0.00%
Saudi Arabia,38,81.58%,31,55.26%,2.16,0:01:17,0,1038.00 ,0.00%
,"8,279",92.78%,"7,681",57.98%,2.13,0:00:52,0,9279.00 ,0.00%
