Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"2,903",94.42%,"2,741",61.28%,1.91,0:00:52,0,2903.00 ,0.00%
United States,"1,996",93.09%,"1,858",56.86%,2.15,0:00:53,0,1996.00 ,0.00%
United Arab Emirates,431,97.45%,420,54.29%,1.67,0:00:32,0,1431.00 ,0.00%
Philippines,376,95.21%,358,63.56%,1.63,0:00:40,0,1376.00 ,0.00%
United Kingdom,236,87.29%,206,53.39%,2.89,0:01:33,0,1236.00 ,0.00%
Germany,117,92.31%,108,54.70%,2.61,0:01:11,0,1117.00 ,0.00%
Pakistan,115,95.65%,110,43.48%,2.63,0:00:42,0,1115.00 ,0.00%
(not set),105,98.10%,103,65.71%,1.61,0:00:42,0,1105.00 ,0.00%
France,101,91.09%,92,48.51%,2.96,0:00:53,0,1101.00 ,0.00%
Sri Lanka,101,100.00%,101,50.50%,2.2,0:00:52,0,1101.00 ,0.00%
Netherlands,97,89.69%,87,56.70%,2.32,0:01:14,0,1097.00 ,0.00%
Indonesia,95,95.79%,91,58.95%,2.54,0:01:18,0,1095.00 ,0.00%
Canada,92,90.22%,83,50.00%,2.51,0:01:25,0,1092.00 ,0.00%
Brazil,83,87.95%,73,68.67%,2.51,0:01:08,0,1083.00 ,0.00%
Iran,79,88.61%,70,39.24%,5.52,0:02:22,0,1079.00 ,0.00%
Australia,74,85.14%,63,44.59%,3.93,0:04:47,0,1074.00 ,0.00%
Malaysia,74,100.00%,74,77.03%,1.51,0:00:18,0,1074.00 ,0.00%
Russia,70,87.14%,61,62.86%,3.66,0:01:49,0,1070.00 ,0.00%
Sudan,69,82.61%,57,55.07%,1.81,0:00:38,0,1069.00 ,0.00%
Bangladesh,66,98.48%,65,39.39%,2.5,0:01:11,0,1066.00 ,0.00%
Turkey,66,87.88%,58,42.42%,2.35,0:00:55,0,1066.00 ,0.00%
Spain,65,86.15%,56,61.54%,2.12,0:01:35,0,1065.00 ,0.00%
Italy,56,82.14%,46,42.86%,2.88,0:02:01,0,1056.00 ,0.00%
Algeria,55,92.73%,51,54.55%,3.18,0:01:09,0,1055.00 ,0.00%
Egypt,50,86.00%,43,50.00%,2.76,0:01:07,0,1050.00 ,0.00%
,"8,678",93.21%,"8,089",57.78%,2.16,0:01:01,0,9678.00 ,0.00%
