Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"4,068",95.55%,"3,887",62.73%,1.86,0:00:39,0,4068.00 ,0.00%
United States,"2,238",93.57%,"2,094",57.69%,2.3,0:00:49,0,2238.00 ,0.00%
United Kingdom,257,79.77%,205,45.91%,2.82,0:02:37,0,1257.00 ,0.00%
Germany,177,97.74%,173,62.71%,2.62,0:00:48,0,1177.00 ,0.00%
(not set),167,97.01%,162,51.50%,2.01,0:00:46,0,1167.00 ,0.00%
Indonesia,141,92.20%,130,58.16%,2.05,0:01:04,0,1141.00 ,0.00%
Canada,123,87.80%,108,50.41%,3.28,0:01:13,0,1123.00 ,0.00%
Sri Lanka,109,95.41%,104,64.22%,1.88,0:00:50,0,1109.00 ,0.00%
Bangladesh,100,95.00%,95,62.00%,2,0:01:22,0,1100.00 ,0.00%
Algeria,100,91.00%,91,53.00%,2.77,0:01:37,0,1100.00 ,0.00%
Australia,86,72.09%,62,39.53%,2.5,0:05:33,0,1086.00 ,0.00%
Netherlands,86,86.05%,74,58.14%,2.93,0:01:19,0,1086.00 ,0.00%
France,85,89.41%,76,65.88%,4.62,0:03:49,0,1085.00 ,0.00%
Pakistan,80,91.25%,73,52.50%,2.39,0:01:03,0,1080.00 ,0.00%
Kenya,79,96.20%,76,72.15%,1.72,0:00:46,0,1079.00 ,0.00%
Spain,67,82.09%,55,56.72%,1.76,0:01:30,0,1067.00 ,0.00%
Italy,65,89.23%,58,55.38%,2.17,0:01:05,0,1065.00 ,0.00%
Mexico,61,95.08%,58,59.02%,2.46,0:01:12,0,1061.00 ,0.00%
Iran,60,90.00%,54,40.00%,3.9,0:02:05,0,1060.00 ,0.00%
Russia,57,94.74%,54,47.37%,2.61,0:02:11,0,1057.00 ,0.00%
Brazil,56,100.00%,56,57.14%,3.11,0:01:26,0,1056.00 ,0.00%
Egypt,54,92.59%,50,57.41%,2.48,0:00:54,0,1054.00 ,0.00%
Malaysia,53,98.11%,52,69.81%,2,0:00:31,0,1053.00 ,0.00%
South Africa,53,94.34%,50,67.92%,1.58,0:00:19,0,1053.00 ,0.00%
Philippines,51,96.08%,49,62.75%,2.04,0:00:37,0,1051.00 ,0.00%
,"9,569",93.50%,"8,947",58.88%,2.23,0:01:00,0,10569.00 ,0.00%
