Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"3,101",94.87%,"2,942",62.56%,1.84,0:00:44,0,3101.00 ,0.00%
United States,"1,780",93.15%,"1,658",61.69%,2.16,0:00:49,0,1780.00 ,0.00%
United Arab Emirates,346,93.35%,323,56.07%,1.96,0:00:52,0,1346.00 ,0.00%
United Kingdom,205,91.22%,187,49.27%,3.57,0:02:02,0,1205.00 ,0.00%
Germany,185,91.35%,169,57.30%,2.96,0:01:00,0,1185.00 ,0.00%
(not set),177,96.61%,171,74.01%,1.47,0:00:26,0,1177.00 ,0.00%
Kenya,149,92.62%,138,69.13%,1.68,0:00:46,0,1149.00 ,0.00%
Canada,135,84.44%,114,42.96%,3.06,0:01:45,0,1135.00 ,0.00%
Netherlands,130,93.08%,121,67.69%,2.35,0:00:43,0,1130.00 ,0.00%
Pakistan,126,92.86%,117,41.27%,3.67,0:02:03,0,1126.00 ,0.00%
Russia,121,76.03%,92,47.93%,2.41,0:02:02,0,1121.00 ,0.00%
France,107,88.79%,95,44.86%,3.07,0:01:48,0,1107.00 ,0.00%
Iran,107,87.85%,94,42.99%,3.25,0:02:44,0,1107.00 ,0.00%
Spain,83,86.75%,72,57.83%,2.9,0:01:55,0,1083.00 ,0.00%
Sri Lanka,82,87.80%,72,63.41%,2.67,0:01:07,0,1082.00 ,0.00%
Italy,81,88.89%,72,56.79%,2.16,0:01:00,0,1081.00 ,0.00%
Indonesia,75,97.33%,73,64.00%,3,0:01:11,0,1075.00 ,0.00%
Australia,72,90.28%,65,47.22%,3.99,0:02:15,0,1072.00 ,0.00%
Bangladesh,71,94.37%,67,59.15%,2.55,0:01:12,0,1071.00 ,0.00%
Turkey,70,97.14%,68,57.14%,2.29,0:00:54,0,1070.00 ,0.00%
Japan,65,87.69%,57,49.23%,3.98,0:02:01,0,1065.00 ,0.00%
Poland,58,91.38%,53,50.00%,3.29,0:02:01,0,1058.00 ,0.00%
Brazil,57,89.47%,51,61.40%,2,0:00:46,0,1057.00 ,0.00%
Mexico,55,96.36%,53,63.64%,2.4,0:01:09,0,1055.00 ,0.00%
Egypt,48,91.67%,44,54.17%,2.21,0:01:18,0,1048.00 ,0.00%
,"8,634",92.31%,"7,970",59.00%,2.3,0:01:03,0,9634.00 ,0.00%
