Item,Descrption,Cost,UPC1
        335L,Canvas,$95.00 ,40008068001
3376,,$23.00 ,40000002986
3387,,$12.50 ,40000001463
3520,,$19.50 ,40000001221
3806,Gigis Handbag,$18.00 ,40000004271
3842,Gigis Handbag,$10.00 ,40000004291
3888,Gigis Handbag,$18.00 ,40000004286
3919,Gigis Handbags,$15.00 ,40000004278
3922,Gigis Handbag,$18.00 ,40000004275
3941,Gigis Handbag,$15.00 ,40000004285
4005,Pants/Shorts,-,40000007005
4007,,$12.75 ,40000000817
4217,,$20.75 ,40000002508
4221,,$9.75 ,40000002842
4281,,$20.75 ,40000002507
4406,,$25.00 ,40000002989
4414,,$18.10 ,40000001091
4486,,$30.65 ,40000002260
4509,,$8.75 ,40000002598
4533,,$10.50 ,40000001465
4600,,$19.50 ,40000002630
4602,,$12.40 ,40005920001
4986,,$9.50 ,40000002577
5005,Intimates,-,40000008005
5064,,$9.25 ,40000001452
5132,,$25.00 ,40000002212
5181,,$25.00 ,40000002991
5422,,$10.50 ,40000003023
5478,,$9.25 ,40000002100
5490,,$9.75 ,40000002448
5523,,$9.75 ,40000002226
5563,,$8.50 ,40000002925
5576,,$8.50 ,40000003040
5652,Gigis Handbag,$20.00 ,40000004274
5660,,$22.75 ,40000002845
5917,,$19.75 ,40000002863
6000,,$1.00 ,40000003466
6005,Shoes,-,40000009005
        609M,Canvas,$35.00 ,40008070001
        611S,,$11.50 ,40000001439
        639M,Canvas,$35.00 ,40008066001
        690V,,$12.00 ,40000001466
7005,Accessories,-,40000010005
7045,,$25.50 ,40000001787
7075,Woven Long Pant Olive,$18.00 ,40000004674
7204,Scalloped Candlepot,$10.00 ,40007658001
7206,Scalloped Candlepot,$10.00 ,40007654001
7207,Scalloped Candlepot,$10.00 ,40007645001
7214,Mini Candle,$4.50 ,40007655001
7216,Mini Candle,$4.50 ,40007651001
7217,Mini Candle,$4.50 ,40007643001
7224,3 Wick Candle,$9.00 ,40007656001
7226,3 Wick Candle,$9.00 ,40007652001
7227,3 Wick Candle,$9.00 ,40007644001
7228,Gigis Handbag,$26.00 ,40000004288
7405,,$24.75 ,40000002504
7407,,$11.50 ,40000002841
7408,Gigis Handbag,$25.00 ,40000004289
7488,Gigis Handbag,$23.00 ,40000004282
7588,,$15.50 ,40000002244
7619,,$18.00 ,40000002995
7620,,$11.75 ,40006087001
7733,,$14.50 ,40000002151
        786A,,$35.75 ,40000002285
7962,Tiny Bowl,-,40007115001
8005,Apothecary,-,40000011005
8008,,$3.00 ,40000003058
8032,,$13.00 ,40000001341
8043,,$17.00 ,40000002992
8134,,$10.75 ,40000002906
8209,,$7.50 ,40000001657
8439,,$16.75 ,40000002501
8721,,$1.85 ,40000003670
8965,,$18.25 ,40000001758
9005,Giftware,-,40000012005
9011,,$15.75 ,40000002115
9030,,$6.00 ,40000002597
9053,,$8.00 ,40000002979
9056,,$8.50 ,40000002982
9060,,$8.00 ,40000002980
9066,,$8.00 ,40000002978
9077,,$7.50 ,40000002977
9114,,$9.50 ,40000003095
9119,,$9.50 ,40000003096
9122,,$12.00 ,40000003097
9126,,$8.00 ,40000002981
9127,,$16.75 ,40000000819
9142,,$12.50 ,40000003098
9415,,$8.40 ,40005923001
9603,,$18.50 ,40000000775
        A722,,$13.00 ,40000002600
        AQU6,Tin Candle,$2.50 ,40000004049
        B241,,$9.50 ,40000002375
        B610,,$12.00 ,40000001652
        B878,,$13.00 ,40000002907
        BHL2,,$13.25 ,40000002286
        BLUA,PPLA Blue Becky Tee,$26.00 ,40000004081
        BQS1,La-Di-Da Crew,-,40007060001
        BQS2,Hubba Hubba Crew,-,40007061001
        BQS3,Favorite Salad Crew,-,40007062001
        BQS4,SoFresh Ankle,-,40007063001
        BQS5,Sugar Monster Ankle,-,40007064001
        BQS6,Thou Art Ankle,-,40007065001
        BQS7,You Rocketh Ankle,-,40007066001
        BQS8,Mood Swings Ankle,-,40007067001
        BQS9,Love Ya  Mean It Crew,-,40007068001
        BT01,,$10.65 ,40000002264
        BT05,,$25.65 ,40000002265
        BT08,,$20.75 ,40000002834
        C630,,$25.75 ,40000002703
        CVTC,Tacos Socks,$5.50 ,40007697001
        DNMB,PPLA Denim Tank,$22.00 ,40000004079
        DORA,,$8.35 ,40000002767
        E234,Ettika Brass Earring,$20.00 ,40008064001
