Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"4,868",95.65%,"4,656",61.67%,1.85,0:00:38,0,4868.00 ,0.00%
United States,728,91.35%,665,53.30%,3.38,0:01:18,0,1728.00 ,0.00%
United Kingdom,263,83.27%,219,53.61%,2.07,0:00:52,0,1263.00 ,0.00%
Bangladesh,262,97.33%,255,65.65%,1.86,0:00:39,0,1262.00 ,0.00%
Germany,198,92.42%,183,63.13%,2.14,0:01:20,0,1198.00 ,0.00%
Pakistan,156,96.79%,151,58.33%,2.54,0:01:01,0,1156.00 ,0.00%
Canada,128,89.06%,114,50.78%,2.72,0:01:31,0,1128.00 ,0.00%
Algeria,121,90.91%,110,52.89%,2.55,0:01:14,0,1121.00 ,0.00%
Sri Lanka,114,93.86%,107,62.28%,1.96,0:00:34,0,1114.00 ,0.00%
Australia,89,83.15%,74,50.56%,2.66,0:01:20,0,1089.00 ,0.00%
South Africa,76,94.74%,72,73.68%,1.51,0:00:37,0,1076.00 ,0.00%
Spain,75,82.67%,62,56.00%,2.24,0:01:24,0,1075.00 ,0.00%
France,75,93.33%,70,77.33%,1.63,0:00:27,0,1075.00 ,0.00%
Italy,73,87.67%,64,46.58%,3.15,0:03:19,0,1073.00 ,0.00%
Brazil,68,91.18%,62,61.76%,2.41,0:01:29,0,1068.00 ,0.00%
Iran,67,91.04%,61,37.31%,3.27,0:01:51,0,1067.00 ,0.00%
Egypt,66,95.45%,63,65.15%,2.02,0:00:32,0,1066.00 ,0.00%
Russia,64,90.62%,58,51.56%,2.14,0:01:05,0,1064.00 ,0.00%
Philippines,55,89.09%,49,49.09%,2.71,0:00:50,0,1055.00 ,0.00%
Indonesia,52,100.00%,52,63.46%,2.08,0:00:34,0,1052.00 ,0.00%
Mexico,51,98.04%,50,74.51%,1.8,0:00:13,0,1051.00 ,0.00%
Malaysia,50,98.00%,49,62.00%,2.58,0:00:50,0,1050.00 ,0.00%
Turkey,43,88.37%,38,41.86%,2.37,0:01:36,0,1043.00 ,0.00%
Netherlands,41,92.68%,38,60.98%,2.15,0:00:29,0,1041.00 ,0.00%
Poland,41,92.68%,38,48.78%,2.32,0:00:46,0,1041.00 ,0.00%
,"8,905",93.90%,"8,362",59.55%,2.15,0:00:51,0,9905.00 ,0.00%
