Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"3,250",94.09%,"3,058",62.89%,1.84,0:00:49,0,3250.00 ,0.00%
United States,"2,029",91.92%,"1,865",59.19%,2.56,0:01:00,0,2029.00 ,0.00%
United Arab Emirates,351,96.58%,339,58.12%,1.71,0:00:33,0,1351.00 ,0.00%
United Kingdom,235,89.36%,210,52.34%,2.32,0:01:32,0,1235.00 ,0.00%
Germany,163,89.57%,146,49.08%,3.83,0:02:48,0,1163.00 ,0.00%
Canada,115,82.61%,95,37.39%,3.41,0:01:28,0,1115.00 ,0.00%
Sudan,112,95.54%,107,64.29%,1.7,0:00:46,0,1112.00 ,0.00%
Sri Lanka,107,95.33%,102,59.81%,2.38,0:00:52,0,1107.00 ,0.00%
France,103,91.26%,94,66.02%,1.81,0:01:03,0,1103.00 ,0.00%
Pakistan,100,97.00%,97,48.00%,2.19,0:00:42,0,1100.00 ,0.00%
Netherlands,97,87.63%,85,49.48%,3,0:00:59,0,1097.00 ,0.00%
Spain,90,84.44%,76,58.89%,2.49,0:01:57,0,1090.00 ,0.00%
Iran,89,91.01%,81,40.45%,2.94,0:01:34,0,1089.00 ,0.00%
Bangladesh,79,94.94%,75,46.84%,2.85,0:01:00,0,1079.00 ,0.00%
Russia,78,85.90%,67,51.28%,2.27,0:01:58,0,1078.00 ,0.00%
Indonesia,77,89.61%,69,61.04%,2.34,0:00:47,0,1077.00 ,0.00%
Italy,69,91.30%,63,40.58%,3.12,0:02:07,0,1069.00 ,0.00%
Turkey,69,94.20%,65,44.93%,2.93,0:01:46,0,1069.00 ,0.00%
Poland,68,86.76%,59,58.82%,2.9,0:01:17,0,1068.00 ,0.00%
Kenya,67,92.54%,62,58.21%,2.21,0:01:08,0,1067.00 ,0.00%
Egypt,65,95.38%,62,47.69%,2.45,0:00:57,0,1065.00 ,0.00%
Mexico,65,92.31%,60,47.69%,2.29,0:01:29,0,1065.00 ,0.00%
Brazil,58,94.83%,55,50.00%,2.34,0:01:43,0,1058.00 ,0.00%
(not set),50,96.00%,48,60.00%,1.56,0:00:22,0,1050.00 ,0.00%
Australia,47,95.74%,45,51.06%,1.87,0:01:29,0,1047.00 ,0.00%
,"8,813",92.50%,"8,152",58.16%,2.26,0:01:04,0,9813.00 ,0.00%
