 1345296904 ,   ,  , 26 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297006 ,   ,  , 20 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297007 ,   ,  , 64 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297052 ,   ,  , 54 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297116 ,   ,  , 16 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297264 ,   ,  , 74 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297281 ,   ,  , 39 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297283 ,   ,  , 69 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297284 ,   ,  , 69 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297286 ,   ,  , 69 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297288 ,   ,  , 49 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297293 ,   ,  , 42 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297294 ,   ,  , 42 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297330 ,   ,  , 44 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297331 ,   ,  , 38 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297334 ,   ,  , 69 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345297353 ,   ,  , 34 ,   ,  ,  ,  ,  ,  , 0 , 1 , 0 , 0 , 1
 1345298880 ,   , Lilywood 25oz , 45 ,   , Giftware  ,  ,  ,  , Swell , 0 , 0 , 1 , 2 , 3
 1345298878 ,   , Ocean Blue Shimmer 25oz , 45 ,   , Giftware  ,  ,  ,  , Swell , 0 , 0 , 1 , 0 , 1
 1345298316 ,   , Cowboy Belt Sand , 80 ,   , Accessory  , Leather ,  , Leather , Cowboy Belt Co , 0 , 0 , 1 , 0 , 1
 1345298326 ,   , Stilt Roll Up , 235 ,   , Apparel  , Denim , Pant , Denim , AG , 0 , 0 , 1 , 0 , 1
 1345298314 ,   , Cowboy Belt Sky Blue , 56 ,   , Accessory  , Leather ,  , Leather , Cowboy Belt Co , 0 , 0 , 1 , 0 , 1
 1345298324 ,   , Stilt Roll Up , 178 ,   , Apparel  , Denim , Pant , Denim , AG , 0 , 0 , 1 , 0 , 1
 1345298714 ,   , Bella Dahl Flowy Cami , 129 ,   , Apparel  , Sleeveless , Shirt , Sleeveless , Bella Dahl  , 0 , 0 , 1 , 0 , 1
 1345298738 ,   , Tart Flora Top , 105 ,   , Apparel  , Sleeveless , Shirt , Sleeveless , Tart Collection  , 0 , 0 , 1 , 0 , 1
 1345298716 ,   , Bella Dahl Pullover White Tuni , 142 ,   , Apparel  , Sleeveless , Shirt , Sleeveless , Bella Dahl  , 0 , 0 , 1 , 0 , 1
 1345298501 ,   , PPLA Top , 54 ,   , Apparel  , Sleeveless , Shirt , Sleeveless , PPLA , 0 , 0 , 1 , 0 , 1
 1353038337 ,   , MellyMoo Little , 16 ,   , Giftware  ,  ,  ,  , Jelly Cat  , 0 , 0 , 1 , 0 , 1
 1345298313 ,   , Cowboy Belt Peach , 46 ,   , Accessory  , Leather ,  , Leather , Cowboy Belt Co , 0 , 0 , 1 , 0 , 1
 1345298410 ,   , Low Rise Ankle Crop , 218 ,   , Apparel  , Denim , Ankle , Denim , J Brand  , 0 , 0 , 5 , 0 , 5
 1345298312 ,   , Cowboy Belt Camel , 46 ,   , Apparel  , Leather ,  , Leather , Cowboy Belt Co , 0 , 0 , 1 , 0 , 1
 1353339337 ,   , Low Rise Cropped , 198 ,   , Apparel  , Denim , Crop , Denim , J Brand  , 0 , 0 , 1 , 0 , 1
