UPC1, Item, Descrption, Cost, Price, Category, SubCategory, SubCategory2, SubCategory3, Vendor, GR, GC, VR, VC, Total Inventory
40000004326,    CT1797-S,Caramela White Top,$15.50 ,,,,,,,,,,,
40000004327,   , Free People ,0,68, Apparel ,  ,  ,  ,  ,0,0,1,0,1
40000004327,    OB499892,Free People,$31.00 ,,,,,,,,,,,
40000004328,   , Free People ,0,128, Apparel ,  ,  ,  ,  ,0,0,2,4,6
40000004328,    OB510660,Free People,$58.00 ,,,,,,,,,,,
40000004329,   , Free People ,0,98, Apparel ,  ,  ,  , Free People ,0,0,1,3,4
40000004329,    OB519386,Free People,$44.00 ,,,,,,,,,,,
40000004330,   , Free People ,0,98, Apparel ,  ,  ,  ,  ,0,0,6,11,17
40000004330,    OB519910,Free People,$44.00 ,,,,,,,,,,,
40000004331,   , PPLA ,0,72, Apparel ,  ,  ,  ,  ,0,0,1,0,1
40000004331,       JT521,PPLA,$32.00 ,,,,,,,,,,,
40000004332,   , GoodHyouman ,0,42, Apparel ,  ,  ,  ,  ,0,0,2,1,3
40000004332,     103121P,GoodHyouman,$17.00 ,,,,,,,,,,,
40000004333,   , GoodHyouman ,0,42, Apparel ,  ,  ,  ,  ,0,0,4,4,8
40000004333,     103131P,GoodHyouman,$16.50 ,,,,,,,,,,,
40000004334,     110175P,GoodHyouman,$30.00 ,,,,,,,,,,,
40000004335,   , GoodHyouman ,0,42, Apparel ,  ,  ,  ,  ,0,0,5,0,5
40000004335,     114102P,GoodHyouman,$16.50 ,,,,,,,,,,,
40000004336,   , A&B Handbags ,0,64, Accessory  , Handbag ,  ,  ,  ,0,0,1,2,3
40000004336,      ABS032,A&B Handbags,$25.00 ,,,,,,,,,,,
40000004337,   , A&B Handbags ,0,64, Accessory  , Handbags ,  ,  , America&Beyond  ,0,0,1,2,3
40000004337,      ABT036,A&B Handbags,$25.50 ,,,,,,,,,,,
40000004338,   , A&B Handbags ,0,49, Accessory  , Handbags ,  ,  , America&Beyond  ,0,0,1,2,3
40000004338,      ABT070,A&B Handbags,$20.00 ,,,,,,,,,,,
40000004339,   , A&B Handbags ,0,49, Accessory , Handbag ,  ,  ,  ,0,0,0,2,2
40000004339,     ABLC016,A&B Handbags,$20.00 ,,,,,,,,,,,
40000004340,   , A&B Handbags ,0,49, Accessory  , Handbag ,  ,  , America&Beyond ,0,0,1,2,3
40000004340,     ABCL050,A&B Handbags,$20.00 ,,,,,,,,,,,
40000004341,   , A&B Handbags ,0,49, Giftware , Candle ,  ,  ,  ,0,0,1,2,3
40000004341,     ABCL041,A&B Handbags,$21.00 ,,,,,,,,,,,
40000004342,   , Yosi E-Run ,0,55, Footwear  , Flip Flop ,  ,  , Yosi ,0,0,1,0,1
40000004342,     WRO-200,Yosi E-Run,$24.00 ,,,,,,,,,,,
40000004343,   , PPLA Ponderosa Dress ,0,59, Apparel ,  ,  ,  ,  ,0,0,1,0,1
40000004343,      CD2275,PPLA Ponderosa Dress,$26.00 ,,,,,,,,,,,
40000004344,   , Blu Pepper Woven Pant ,0,42, Apparel , Bottom ,  ,  ,  ,3,1,0,0,4
40000004344,      BA3957,Blu Pepper Woven Pant,$16.00 ,,,,,,,,,,,
40000004345,      BA5001,Blu Pepper Woven Top,$15.00 ,,,,,,,,,,,
40000004346,   , Blu Pepper Woven Skirt ,0,34, Apparel , Bottom ,  ,  ,  ,2,1,0,0,3
40000004346,      BA5849,Blu Pepper Woven Skirt,$13.00 ,,,,,,,,,,,
40000004347,      SJ3098,Blu Pepper Woven Top,$12.00 ,,,,,,,,,,,
40000004348,   , Blu Pepper Woven Dress ,0,32, Apparel , Dress ,  ,  ,  ,0,1,0,0,1
40000004348,      SJ2651,Blu Pepper Woven Dress,$12.00 ,,,,,,,,,,,
40000004349,      SJ3065,Blu Pepper Top,$9.00 ,,,,,,,,,,,
40000004350,   , Blu Pepper Top ,0,24, Apparel , Top ,  ,  ,  ,1,0,0,0,1
40000004350,      SJ3121,Blu Pepper Top,$10.00 ,,,,,,,,,,,
40000004351,   , Blu Pepper Top ,0,24, Apparel , Top ,  ,  ,  ,1,0,0,0,1
40000004351,      SJ3189,Blu Pepper Top,$9.00 ,,,,,,,,,,,
40000004352,   , Free People ,0,108, Apparel ,  ,  ,  , Free People ,0,0,1,3,4
40000004352,    OB519435,Free People,$49.00 ,,,,,,,,,,,
40000004353,   , Mumu North Shore ,0,104, Apparel , Top ,  ,  , Mumu ,0,0,4,2,6
40000004353,       MM611,Mumu North Shore,$52.00 ,,,,,,,,,,,
40000004354,   , Mumu Lava Lava Graphic ,0,72, Apparel , Top ,  ,  , Mumu ,0,0,2,3,5
40000004354,      MM6136,Mumu Lava Lava Graphic,$35.00 ,,,,,,,,,,,
40000004355,   , Mumu Boca Raton ,0,124, Apparel , Top ,  ,  , Mumu ,0,0,2,2,4
40000004355,      MM6138,Mumu Boca Raton,$62.00 ,,,,,,,,,,,
40000004356,   , Mumu Pretty as a Peach ,0,89, Apparel , Top ,  ,  ,  ,0,0,2,3,5
40000004356,      MM6185,Mumu Pretty as a Peach,$44.00 ,,,,,,,,,,,
40000004357,   , Mumu Oliver Tree Graphic ,0,69, Apparel ,  ,  ,  ,  ,0,0,1,1,2
40000004357,      MM6188,Mumu Oliver Tree Graphic,$30.00 ,,,,,,,,,,,
40000004358,   , Mumu Mae Mu ,0,119, Apparel , Top ,  ,  , Mumu ,0,0,3,4,7
40000004358,      MM6239,Mumu Mae Mu,$58.00 ,,,,,,,,,,,
40000004359,   , Mumu Gomez Mini dress ,0,124, Apparel , Dress ,  ,  , Mumu ,0,0,3,3,6
40000004359,       MM628,Mumu Gomez Mini dress,$62.00 ,,,,,,,,,,,
40000004360,   , Mumu North Shore ,0,135, Apparel , Top ,  ,  , Mumu ,0,0,3,1,4
40000004360,       MM652,Mumu North Shore,$68.00 ,,,,,,,,,,,
40000004361,   , Mumu Tutti Frutti ,0,116, Apparel , Top ,  ,  , Mumu ,0,0,2,1,3
40000004361,       MM660,Mumu Tutti Frutti,$58.00 ,,,,,,,,,,,
40000004362,       M5709,Kori Swing Dress,$15.75 ,,,,,,,,,,,
40000004363,       T5115,Entro,$14.75 ,,,,,,,,,,,
40000004364,   , Entro ,0,39, Apparel , Top ,  ,  ,  ,1,0,0,0,1
40000004364,       T5188,Entro,$13.75 ,,,,,,,,,,,
40000004365,   , Entro ,0,48, Apparel , Top ,  ,  ,  ,2,1,0,0,3
40000004365,       D4008,Entro,$18.50 ,,,,,,,,,,,
40000004366,   , Eight Sixty ,0,132, Apparel , Dress , Maxi ,  , Eight Sixty ,0,0,0,2,2
40000004366,   EAO891904,Eight Sixty,$60.00 ,,,,,,,,,,,
40000004367,   , Eight Sixty ,0,149, Apparel , Dress , Maxi ,  , Eight Sixty ,0,0,0,5,5
40000004367,   EBD891771,Eight Sixty,$68.00 ,,,,,,,,,,,
40000004368,       M316C,Love Poppy Brac,$21.00 ,,,,,,,,,,,
40000004369,       M316J,Love Poppy Neck,$30.00 ,,,,,,,,,,,
40000004370,       M316N,Love Poppy Neck,$25.00 ,,,,,,,,,,,
40000004371,       M316L,Love Poppy Neck,$25.00 ,,,,,,,,,,,
40000004372,       M316O,Love Poppy Neck,$19.00 ,,,,,,,,,,,
40000004373,       M316S,Love Poppy Neck,$38.00 ,,,,,,,,,,,
40000004374,       M316T,Love Poppy Neck,$30.00 ,,,,,,,,,,,
40000004375,   , Bella Dahl Split Back Halter ,0,84, Apparel  , Top , Shirt , Sleeveless , Bella Dahl  ,0,0,3,4,7
40000004375,    B2109669,Bella Dahl Split Back Halter,$38.00 ,,,,,,,,,,,
40000004376,   , Bella Dahl Hankerchief Popover ,0,79, Apparel  , Top ,  ,  , Bella Dahl ,0,0,2,3,5
40000004376,    B2143669,Bella Dahl Hankerchief Popover,$36.00 ,,,,,,,,,,,
40000004377,   , Bella Dahl LArge Pocket Pullov ,0,149, Apparel ,  ,  ,  ,  ,0,0,4,3,7
40000004377,    B2150734,Bella Dahl LArge Pocket Pullover,$69.00 ,,,,,,,,,,,
40000004378,   , Bella Dahl Flowy Cami ,0,129, Apparel  , Top , Shirt , Sleeveless , Bella Dahl  ,0,0,1,4,5
40000004378,    B2163734,Bella Dahl Flowy Cami,$58.00 ,,,,,,,,,,,
40000004379,   , Bella Dahl Cross Back Romper ,0,159, Apparel ,  ,  ,  ,  ,0,0,3,4,7
40000004379,    B6693549,Bella Dahl Cross Back Romper,$68.00 ,,,,,,,,,,,
40000004380,   , Bella Dahl Pullover White Tuni ,0,142, Apparel  , Top , Shirt , Sleeveless , Bella Dahl  ,0,0,1,0,1
40000004380,    B2850874,Bella Dahl Pullover White Tunic,$64.00 ,,,,,,,,,,,
40000004381,   , Bella Dahl Rose Shorts ,0,79, Apparel , Bottom , Shorts ,  ,  ,0,0,1,0,1
40000004381,    B3627874,Bella Dahl Rose Shorts,$36.00 ,,,,,,,,,,,
40000004382,   , Bella Dahl Lace Up Dress ,0,149, Apparel ,  ,  ,  ,  ,0,0,1,5,6
40000004382,    B6771874,Bella Dahl Lace Up Dress,$68.00 ,,,,,,,,,,,
40000004383,   , Young At Heart Stripe Tank ,0,64, Apparel ,  ,  ,  ,  ,0,0,2,3,5
40000004383,     DS21010,Young At Heart Stripe Tank,$29.00 ,,,,,,,,,,,
40000004384,   , Young At Heart Gauze Strappy T ,0,75, Apparel , Top ,  ,  ,  ,0,0,3,3,6
40000004384,      G20948,Young At Heart Gauze Strappy Top,$34.00 ,,,,,,,,,,,
40000004385,   , Young At Heart Bralette ,0,24, Apparel ,  ,  ,  ,  ,0,0,2,3,5
40000004385,     CNS1003,Young At Heart Bralette,$11.00 ,,,,,,,,,,,
40000004386,   , Fidelity Mila Crop ,0,245, Apparel , Bottom , Crop ,  , Fidelity  ,0,0,0,2,2
40000004386,       L1120,Fidelity Mila Crop,$108.00 ,,,,,,,,,,,
40000004387,   , Fidelity Axl Crop ,0,189, Apparel , Bottom , Crop ,  , Fidelity  ,0,0,0,5,5
40000004387,1018,Fidelity Axl Crop,$85.00 ,,,,,,,,,,,
40000004388,   , Fidelity Heatherette Jacket ,0,245, Apparel , Top , Jacket , Denim ,  ,0,0,0,2,2
40000004388,       L1075,Fidelity Heatherette Jacket,$116.00 ,,,,,,,,,,,
40000004389,   , Mamie Ruth Sunday Ticket Tee ,0,59, Apparel , Top , Tshirt ,  , Mamie Ruth ,0,0,1,4,5
40000004389,287011,Mamie Ruth Sunday Ticket Tee,$27.00 ,,,,,,,,,,,
40000004390,   , Wishlist Loose Front Tunic ,0,48, Apparel , Top ,  ,  ,  ,0,1,0,0,1
40000004390,     DW5813L,Wishlist Loose Front Tunic,$18.95 ,,,,,,,,,,,
40000004391,     DW7450E,Wishlist Loose Front Tunic,$17.95 ,,,,,,,,,,,
40000004392,   , Wishlist Loose Front Tunic ,0,39, Apparel , Top ,  ,  ,  ,0,1,0,0,1
40000004392,     DW7451E,Wishlist Loose Front Tunic,$15.95 ,,,,,,,,,,,
40000004393,   , Wishlist V-Neck Top ,0,39, Apparel , Top ,  ,  ,  ,5,1,0,0,6
40000004393,      TK420E,Wishlist V-Neck Top,$13.95 ,,,,,,,,,,,
40000004394,   , Wishlist Basic Ruffled Hem Top ,0,34, Apparel , Top ,  ,  ,  ,0,1,0,0,1
40000004394,     TW5881S,Wishlist Basic Ruffled Hem Top,$13.00 ,,,,,,,,,,,
40000004395,   , Wishlist Strappy Back Top ,0,39, Apparel , Top ,  ,  ,  ,7,1,0,0,8
40000004395,     TW7724E,Wishlist Strappy Back Top,$14.95 ,,,,,,,,,,,
40000004396,   , Level 99 Wide Leg ,0,119, Apparel ,  ,  ,  ,  ,0,0,8,10,18
40000004396,      NL2542,Level 99 Wide Leg,$53.99 ,,,,,,,,,,,
40000004397,   , Tart Water Tara Dress ,0,142, Apparel ,  ,  ,  ,  ,0,0,2,1,3
40000004397,      T10018,Tart Water Tara Dress,$64.00 ,,,,,,,,,,,
40000004398,   , Tart Rainbow Tara Dress ,0,142, Apparel ,  ,  ,  ,  ,0,0,1,0,1
40000004398,     T100181,Tart Rainbow Tara Dress,$64.00 ,,,,,,,,,,,
40000004399,   , Tart Henrietta Dress ,0,149, Apparel ,  ,  ,  ,  ,0,0,3,2,5
40000004399,      T10369,Tart Henrietta Dress,$68.00 ,,,,,,,,,,,
40000004400,   , Tart Jill Dress ,0,162, Apparel  , Dress ,  ,  , Tart Collection  ,0,0,2,2,4
40000004400,      T10386,Tart Jill Dress,$74.00 ,,,,,,,,,,,
40000004401,   , Tart Susannah Top ,0,105, Apparel ,  ,  ,  ,  ,0,0,2,4,6
40000004401,       T6542,Tart Susannah Top,$48.00 ,,,,,,,,,,,
40000004402,   , Tart Flora Top ,0,105, Apparel  , Top , Shirt , Sleeveless , Tart Collection  ,0,0,1,2,3
40000004402,       T6550,Tart Flora Top,$48.00 ,,,,,,,,,,,
40000004403,   , Tart Olympia Top ,0,119, Apparel ,  ,  ,  ,  ,0,0,3,3,6
40000004403,       T6556,Tart Olympia Top,$54.00 ,,,,,,,,,,,
40000004404,   , Tart Adalyn Pant ,0,127, Apparel ,  ,  ,  ,  ,0,0,3,0,3
40000004404,       T7298,Tart Adalyn Pant,$58.00 ,,,,,,,,,,,
40000004405,   , Tart Adalyn Pant ,0,127, Apparel , Bottom , Crop ,  , Tart Collection ,0,0,1,5,6
40000004405,      T7298B,Tart Adalyn Pant,$58.00 ,,,,,,,,,,,
40000004406,   , Tart Olga Blazer ,0,149, Apparel ,  ,  ,  ,  ,0,0,1,1,2
40000004406,       T9561,Tart Olga Blazer,$68.00 ,,,,,,,,,,,
40000004407,   , Navy Multi JKT ,0,75, Apparel , Top ,  ,  ,  ,3,1,0,0,4
40000004407,     52214-N,Navy Multi JKT,$30.95 ,,,,,,,,,,,
40000004408,   , Rust Combo ,0,49, Apparel , Top ,  ,  ,  ,2,1,0,0,3
40000004408,     7G143-R,Rust Combo,$20.95 ,,,,,,,,,,,
40000004409,   , Blk/Rust Cardi ,0,49, Apparel , Top ,  ,  ,  ,2,1,0,0,3
40000004409,    7G144-BL,Blk/Rust Cardi,$19.95 ,,,,,,,,,,,
40000004410,   , Blk Open Cardi ,0,49, Apparel , Top ,  ,  ,  ,2,1,0,0,3
40000004410,   C7F100-BL,Blk Open Cardi,$18.95 ,,,,,,,,,,,
40000004411,   , Fringe Vest ,0,49, Apparel , Top ,  ,  ,  ,3,1,0,0,4
40000004411,    J2S19234,Fringe Vest,$17.95 ,,,,,,,,,,,
40000004412,   , 4EverYoung ,0,74, Apparel ,  ,  ,  ,  ,0,0,1,0,1
40000004412,     RP41095,4EverYoung,$29.00 ,,,,,,,,,,,
40000004413,   , 4EverYoung ,0,59, Apparel , Top ,  ,  ,  ,0,0,2,2,4
40000004413,      R20980,4EverYoung,$24.00 ,,,,,,,,,,,
40000004414,   , Free People Grey/Pink ,0,68, Apparel ,  ,  ,  ,  ,0,0,1,1,2
40000004414,    OB519393,Free People Grey/Pink,$31.00 ,,,,,,,,,,,
40000004415,   , Free People Black Combo Dress ,0,88, Apparel ,  ,  ,  ,  ,0,0,1,5,6
40000004415,    OB531984,Free People Black Combo Dress,$40.00 ,,,,,,,,,,,
40000004416,   , Free People Ivory Top ,0,128, Apparel , Top ,  ,  ,  ,0,0,1,5,6
40000004416,    OB527311,Free People Ivory Top,$58.00 ,,,,,,,,,,,
40000004417,   , Free People Black/Green ,0,68, Apparel ,  ,  ,  ,  ,0,0,5,2,7
40000004417,    OB521805,Free People Black/Green,$31.00 ,,,,,,,,,,,
40000004418,   , Mid Rise Cargo ,0,228, Apparel ,  ,  ,  ,  ,0,0,5,8,13
40000004418,     JB00261,Mid Rise Cargo,-,,,,,,,,,,,
40000004419,   , ganz ,0,12, Accessory  ,  ,  ,  ,  ,3,0,0,0,3
40000004419,     ER35212,ganz,$4.00 ,,,,,,,,,,,
40000004420,   , ganz ,0,39, Accessory ,  ,  ,  ,  ,2,1,0,0,3
40000004420,     ER41764,ganz,$12.00 ,,,,,,,,,,,
40000004421,   , ganz ,0,12, Accessory ,  ,  ,  ,  ,1,1,0,0,2
40000004421,     ER41765,ganz,$3.50 ,,,,,,,,,,,
40000004422,   , Ganz ,0,26, Accessory ,  ,  ,  ,  ,2,1,0,0,3
40000004422,     ER44345,ganz,$9.00 ,,,,,,,,,,,
40000004423,   , Hard Tail Street-easy Dress ,0,105, Apparel ,  ,  ,  ,  ,0,0,1,3,4
40000004423,        RV37,Hard Tail Street-easy Dress,$48.00 ,,,,,,,,,,,
40000004424,   , Hard Tail Papaya Sleeved Shirt ,0,62, Apparel ,  ,  ,  ,  ,0,0,1,3,4
40000004424,        RV35,Hard Tail Papaya Sleeved Shirt Tunic,$28.00 ,,,,,,,,,,,
40000004425,   , Hard Tail TRC1 T Back T ,0,86, Apparel , Top ,  ,  , Hard Tail  ,0,0,2,1,3
40000004425,       SIR23,Hard Tail TRC1 T Back T,$39.00 ,,,,,,,,,,,
40000004426,   , Hard Tail Electric Flat Waist ,0,84, Apparel , Bottom ,  ,  ,  ,0,0,1,1,2
40000004426,        RV38,Hard Tail Electric Flat Waist Capri,$38.00 ,,,,,,,,,,,
40000004427,   , Hard Tail Linen Scoop Back Cre ,0,64, Apparel , Top ,  ,  , Hard Tail  ,0,0,3,4,7
40000004427,       SIR25,Hard Tail Linen Scoop Back Crew,$29.00 ,,,,,,,,,,,
40000004428,   , Hard Tail Sea Foam T Back ,0,69, Apparel , Top ,  ,  ,  ,0,0,4,4,8
40000004428,   SIR23SEAF,Hard Tail Sea Foam T Back,$31.00 ,,,,,,,,,,,
40000004429,   , Hard Tail Split Back slouchy ,0,115, Apparel , Top ,  ,  ,  ,0,0,4,3,7
40000004429,       BEM31,Hard Tail Split Back slouchy,$52.00 ,,,,,,,,,,,
40000004430,   , Hard Tail Horizontal Crop ,0,89, Apparel , Bottom ,  ,  ,  ,0,0,4,1,5
40000004430,    RV12HAL1,Hard Tail Horizontal Crop,$40.00 ,,,,,,,,,,,
40000004431,   , Hard Tail Slouchy T ,0,89, Apparel , Top ,  ,  ,  ,0,0,2,1,3
40000004431,  CHEV02DLZ2,Hard Tail Slouchy T,$40.00 ,,,,,,,,,,,
