Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"3,261",94.42%,"3,079",63.48%,1.98,0:00:43,0,3261.00 ,0.00%
United States,"2,044",95.01%,"1,942",55.04%,2.1,0:00:41,0,2044.00 ,0.00%
United Kingdom,236,84.32%,199,38.56%,2.41,0:01:08,0,1236.00 ,0.00%
(not set),192,98.44%,189,69.27%,1.44,0:00:29,0,1192.00 ,0.00%
Germany,143,97.20%,139,51.75%,2.73,0:01:07,0,1143.00 ,0.00%
Sri Lanka,132,88.64%,117,55.30%,2.02,0:00:36,0,1132.00 ,0.00%
Indonesia,131,95.42%,125,59.54%,2.02,0:00:53,0,1131.00 ,0.00%
France,115,88.70%,102,62.61%,2.11,0:01:15,0,1115.00 ,0.00%
Canada,113,91.15%,103,43.36%,2.52,0:01:36,0,1113.00 ,0.00%
Bangladesh,78,97.44%,76,62.82%,2.23,0:00:52,0,1078.00 ,0.00%
Pakistan,77,98.70%,76,40.26%,3,0:01:05,0,1077.00 ,0.00%
Kenya,72,97.22%,70,68.06%,1.46,0:00:26,0,1072.00 ,0.00%
United Arab Emirates,71,92.96%,66,60.56%,1.69,0:00:26,0,1071.00 ,0.00%
Algeria,65,84.62%,55,44.62%,2.37,0:01:09,0,1065.00 ,0.00%
Australia,61,100.00%,61,57.38%,3.13,0:01:30,0,1061.00 ,0.00%
Netherlands,59,98.31%,58,59.32%,2.03,0:00:34,0,1059.00 ,0.00%
Russia,58,94.83%,55,51.72%,2.09,0:01:29,0,1058.00 ,0.00%
Spain,57,82.46%,47,61.40%,1.93,0:01:04,0,1057.00 ,0.00%
Brazil,49,85.71%,42,44.90%,2.45,0:02:11,0,1049.00 ,0.00%
Turkey,46,93.48%,43,60.87%,2.02,0:00:34,0,1046.00 ,0.00%
Egypt,45,100.00%,45,51.11%,2.38,0:00:46,0,1045.00 ,0.00%
Iran,45,91.11%,41,42.22%,3.58,0:02:07,0,1045.00 ,0.00%
Italy,43,86.05%,37,41.86%,2,0:01:12,0,1043.00 ,0.00%
Mexico,42,80.95%,34,59.52%,2.21,0:00:59,0,1042.00 ,0.00%
South Africa,42,100.00%,42,52.38%,2.83,0:02:27,0,1042.00 ,0.00%
,"8,276",93.81%,"7,764",58.42%,2.11,0:00:49,0,9276.00 ,0.00%
