UPC1, Item, Descrption, Price, Cost, Category, SubCategory, SubCategory2, SubCategory3, Vendor, Gigis-Raleigh, Gigis-Cary, Violet-Rareigh, Violet-CaryTotal Inventory
40000004507 ,   , Y@H Lawn Slvless Tank , 59 , 0 , Apparel , Top ,  ,  ,  , 0 , 0 , 1 , 2 , 3
40000004508 ,   , Mumu Pete Tunic Rainforest , 139 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 4 , 4 , 8
40000004509 ,   , Mumu Garrett Tank Jungle Juice , 134 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 4 , 3 , 7
40000004510 ,   , Mumu Circus Mini Dress , 154 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 3 , 3 , 6
40000004511 ,   , Mumu Banna Split Pants , 145 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 3 , 2 , 5
40000004512 ,   , Mumu Sawyer Short Rainforest , 109 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 4 , 6 , 10
40000004513 ,   , Mumu Katy Halter Dress Topical , 154 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 4 , 3 , 7
40000004514 ,   , Red Coat with Sequin , 49 , 0 , Apparel , Top ,  ,  ,  , 3 , 1 , 0 , 0 , 4
40000004515 ,   , Moto Jacket Grey , 49 , 0 , Apparel , Top ,  ,  ,  , 3 , 1 , 0 , 0 , 4
40000004516 ,   , Denim Tie Dress , 54 , 0 , Apparel , Dress ,  ,  ,  , 3 , 1 , 0 , 0 , 4
40000004517 ,   , L/S 2 Pocket Top , 42 , 0 , Apparel , Top ,  ,  ,  , 1 , 1 , 0 , 0 , 2
40000004518 ,   , Soft Cropped Jacket , 52 , 0 , Apparel , Top ,  ,  ,  , 6 , 1 , 0 , 0 , 7
40000004519 ,   , Tart Rain Dress Python , 142 , 0 , Apparel , Dress ,  ,  ,  , 0 , 0 , 1 , 2 , 3
40000004520 ,   , Tart Constance Dress , 164 , 0 , Apparel , Dress ,  ,  ,  , 0 , 0 , 2 , 3 , 5
40000004521 ,   , Tart Charly Dress , 149 , 0 , Apparel , Dress ,  ,  ,  , 0 , 0 , 1 , 3 , 4
40000004522 ,   , Tart Louis Tank Black , 79 , 0 , Apparel , Top ,  ,  ,  , 0 , 0 , 1 , 0 , 1
40000004523 ,   , Tart Loona Top Grey , 84 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 1 , 3 , 4
40000004524 ,   , Tart Eilen Top , 74 , 0 , Apparel , Top ,  ,  , Tart Collection , 0 , 0 , 1 , 3 , 4
40000004525 ,   , Tart Jacket Black , 149 , 0 , Apparel , Outer Wear , Blazer ,  ,  , 0 , 0 , 1 , 3 , 4
40000004526 ,   , Tart Blazer Olive , 169 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 3 , 2 , 5
40000004527 ,   , Z Supply Camo , 34 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 2 , 0 , 2
40000004528 ,   , Z Supply Sno Yarn , 34 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 8 , 13 , 21
40000004529 ,   , denim flat with wrap tassel , 24 , 0 , Footwear , Flat ,  ,  ,  , 9 , 1 , 0 , 0 , 10
40000004530 ,   , Tan/Wine Print Dress , 49 , 0 , Apparel , Dress ,  ,  ,  , 3 , 1 , 0 , 0 , 4
40000004531 ,   , Black Dress , 34 , 0 , Apparel , Dress ,  ,  ,  , 0 , 1 , 0 , 0 , 1
40000004532 ,   , En Creme White Top , 37 , 0 , Apparel , Top ,  ,  ,  , 3 , 1 , 0 , 0 , 4
40000004533 ,   , Free People Tee , 58 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 3 , 5 , 8
40000004534 ,   , POL Lace Up Blue Top , 42 , 0 , Apparel , Top ,  ,  ,  , 3 , 0 , 0 , 0 , 3
40000004535 ,   , POL Embroidered Vest , 44 , 0 , Apparel , Top ,  ,  ,  , 3 , 1 , 0 , 0 , 4
40000004536 ,   , Y@H White FRont Twist Top , 49 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 1 , 2 , 3
40000004537 ,   , Y@H GRey Twist Tunic , 85 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 1 , 3 , 4
40000004538 ,   , PPLA Distressed Tee Black/Grey , 54 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 2 , 6 , 8
40000004539 ,   , PPLA Arrow Wash Tank , 44 , 0 , Apparel , Top ,  ,  ,  , 0 , 0 , 1 , 3 , 4
40000004540 ,   , PPLA  Mya Contrast Tank , 57 , 0 , Apparel ,  ,  ,  ,  , 0 , 0 , 1 , 3 , 4
40000004541 ,   , Yellow Gold 17oz , 42 , 0 , Giftware  , Bottle ,  ,  , Swell , 0 , 0 , 2 , 3 , 5
40000004542 ,   , Ocean Blue Shimmer 25oz , 45 , 0 , Giftware  , Bottle ,  ,  , Swell , 0 , 0 , 2 , 2 , 4
40000004543 ,   , Sand Python 17oz , 35 , 0 , Accessory  ,  ,  ,  ,  , 0 , 0 , 2 , 0 , 2
40000004544 ,   , Lilywood 25oz , 45 , 0 , Giftware  , Bottle ,  ,  , Swell , 0 , 0 , 2 , 3 , 5
40000004545 ,   , Birchwood 25oz , 45 , 0 , Accessory  ,  ,  ,  ,  , 0 , 0 , 2 , 3 , 5
40000004546 ,   , Navy Alligator 25oz , 45 , 0 , Giftware  , Bottle ,  ,  , Swell , 0 , 0 , 1 , 2 , 3
40000004547 ,   , Festival of Colors 17oz , 35 , 0 , Giftware , Bottle ,  ,  , Swell , 0 , 0 , 0 , 2 , 2
40000004548 ,   , Groceries Dress , 79 , 0 , Apparel , Dress ,  ,  , Groceries , 0 , 0 , 0 , 2 , 2
