Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"4,596",94.23%,"4,331",61.36%,1.8,0:00:33,0,4596.00 ,0.00%
United States,826,90.31%,746,48.43%,2.75,0:01:08,0,1826.00 ,0.00%
Bangladesh,205,95.61%,196,54.15%,2.02,0:00:40,0,1205.00 ,0.00%
Germany,187,90.91%,170,60.96%,2.4,0:01:15,0,1187.00 ,0.00%
United Kingdom,174,90.23%,157,52.87%,2.57,0:01:03,0,1174.00 ,0.00%
Pakistan,149,95.30%,142,51.01%,2.06,0:00:49,0,1149.00 ,0.00%
Sri Lanka,128,91.41%,117,64.84%,1.89,0:00:49,0,1128.00 ,0.00%
Canada,104,98.08%,102,56.73%,2.51,0:01:00,0,1104.00 ,0.00%
France,100,81.00%,81,69.00%,1.82,0:01:23,0,1100.00 ,0.00%
Russia,98,56.12%,55,35.71%,3.69,0:04:19,0,1098.00 ,0.00%
Algeria,76,98.68%,75,47.37%,2.37,0:00:44,0,1076.00 ,0.00%
Iran,73,84.93%,62,28.77%,3.53,0:01:44,0,1073.00 ,0.00%
(not set),72,97.22%,70,29.17%,2.47,0:00:19,0,1072.00 ,0.00%
Netherlands,66,83.33%,55,34.85%,1.79,0:02:43,0,1066.00 ,0.00%
Egypt,62,91.94%,57,59.68%,2.11,0:00:51,0,1062.00 ,0.00%
Spain,61,81.97%,50,49.18%,2.1,0:01:43,0,1061.00 ,0.00%
Turkey,59,94.92%,56,61.02%,2.32,0:00:57,0,1059.00 ,0.00%
Australia,54,87.04%,47,46.30%,1.94,0:00:29,0,1054.00 ,0.00%
Italy,54,96.30%,52,50.00%,2.74,0:01:06,0,1054.00 ,0.00%
Indonesia,52,94.23%,49,67.31%,1.42,0:01:10,0,1052.00 ,0.00%
Brazil,46,95.65%,44,71.74%,2.22,0:00:46,0,1046.00 ,0.00%
Mexico,42,95.24%,40,52.38%,2.45,0:01:03,0,1042.00 ,0.00%
Philippines,38,97.37%,37,68.42%,2,0:00:34,0,1038.00 ,0.00%
Poland,37,91.89%,34,37.84%,2.62,0:01:42,0,1037.00 ,0.00%
South Africa,37,91.89%,34,70.27%,1.76,0:00:56,0,1037.00 ,0.00%
,"8,416",92.72%,"7,803",57.95%,2.1,0:00:52,0,9416.00 ,0.00%
