Item,Descrption,Cost,UPC1
117508,,-,117508
123210,,-,123210
126310,,-,126310
127510,,-,127510
137512,Earrings,-,137512
147516,,-,147516
257518,Necklace,-,257518
325012,,-,325012
375020,,-,375020
      20-322,,-,420322
450014,,-,450014
535016,,-,535016
542516,,-,542516
560020,,-,560020
562520,,-,562520
570018,,-,570018
577524,,-,577524
108168,,-,4108168
112316,,-,4112316
112508,,-,4112508
116608,,-,4116608
116828,,-,4116828
117710,,-,4117710
118408,,-,4118408
118410,,-,4118410
119410,,-,4119410
120008,,-,4120008
120010,,-,4120010
120810,,-,4120810
121010,,-,4121010
121410,,-,4121410
121910,,-,4121910
122110,,-,4122110
122510,,-,4122510
122810,,-,4122810
123210,,-,4123210
123910,,-,4123910
124010,,-,4124010
124610,,-,4124610
124710,,-,4124710
125010,,-,4125010
125410,,-,4125410
126310,,-,4126310
127510,,-,4127510
128110,,-,4128110
130010,,-,4130010
131112,,-,4131112
131312,,-,4131312
131510,,-,4131510
132112,,-,4132112
132212,,-,4132212
132510,,-,4132510
132512,,-,4132512
132712,,-,4132712
132812,,-,4132812
133512,,-,4133512
134412,,-,4134412
134510,,-,4134510
134512,,-,4134512
134912,,-,4134912
135612,,-,4135612
135812,,-,4135812
136412,,-,4136412
137514,,-,4137514
138412,,-,4138412
138814,,-,4138814
142514,,-,4142514
143012,,-,4143012
143114,,-,4143114
147514,,-,4147514
147516,,-,4147516
150014,,-,4150014
155016,,-,4155016
      20-238,,-,4200238
      20-228,,-,4202280
      20-242,,-,4202420
237516,,-,4237516
245016,,-,4245016
257518,Necklace,-,4257518
267520,,-,4267520
270020,,-,4270020
315010,,-,4315010
320012,,-,4320012
327514,,-,4327514
327515,,-,4327515
332512,,-,4332512
335015,,-,4335015
337514,,-,4337514
337515,,-,4337515
337516,,-,4337516
340015,,-,4340015
340016,Bracelet,-,4340016
343516,,-,4343516
345016,,-,4345016
347516,,-,4347516
350015,,-,4350015
355018,,-,4355018
365020,,-,4365020
367520,,-,4367520
367522,,-,4367522
370020,,-,4370020
370022,,-,4370022
372520,,-,4372520
375020,,-,4375020
380022,,-,4380022
415008,,-,4415008
418508,,-,4418508
420010,,-,4420010
422510,,-,4422510
424010,,-,4424010
430010,,-,4430010
440012,,-,4440012
442514,,-,4442514
5110030,,-,4511030
530016,,-,4530016
532516,,-,4532516
535016,,-,4535016
535716,,-,4535716
537516,,-,4537516
537518,,-,4537518
540016,,-,4540016
541418,,-,4541418
542918,,-,4542918
545016,,-,4545016
547518,,-,4547518
550020,,-,4550020
551818,,-,4551818
555018,,-,4555018
555718,,-,4555718
557518,,-,4557518
557520,,-,4557520
557820,,-,4557820
562520,,-,4562520
563220,,-,4563220
565020,,-,4565020
568322,,-,4568322
572522,,-,4572522
575022,,-,4575022
580024,,-,4580024
583526,,-,4583526
585024,,-,4585024
587526,,-,4587526
590026,,-,4590026
590028,,-,4590028
592528,,-,4592528
11,,-,4760010
116828,,-,41168028
147516,,-,41475160
122110,,-,400122110
131312,,-,400131312
138814,,-,400138814
155016,,-,400155016
141604,,-,40000000013
515301,,-,40000000019
1366332,,-,40000000021
11,,-,40000000022
91,,-,40000000040
10132,,-,40000000044
10119,,-,40000000045
50002,,-,40000000047
1012719,,-,40000000048
5077102,,-,40000000051
30900,,-,40000000053
538232,,-,40000000056
655311,,-,40000000058
248501,,-,40000000062
1368019,,-,40000000065
476523,,-,40000000068
340501,,-,40000000069
124004,,-,40000000070
6207,,-,40000000072
815603,,-,40000000074
8901,,-,40000000077
8916,,-,40000000078
1602,,-,40000000081
2101,,-,40000000082
5008,,-,40000000084
100.808,,-,40000000086
1000826,,-,40000000087
1003808,,-,40000000088
1008001,,-,40000000089
867711,,-,40000000092
532328,,-,40000000094
114802,,-,40000000095
1013916,,-,40000000098
5074801,,-,40000000099
7009101,,-,40000000101
7009108,,-,40000000102
7009111,,-,40000000103
106301,,-,40000000108
8357809,,-,40000000113
23400,,-,40000000116
1012118,,-,40000000122
274818,,-,40000000128
5077718,,-,40000000138
541704,,-,40000000147
73400,,-,40000000151
214928,,-,40000000152
65604,,-,40000000153
79130,,-,40000000156
6135001,,-,40000000157
112201,,-,40000000159
112211,,-,40000000161
112219,,-,40000000162
100219,,-,40000000163
112209,,-,40000000166
112204,,-,40000000167
7563909,,-,40000000168
7563901,,-,40000000169
7563923,,-,40000000170
7563921,,-,40000000171
7563902,,-,40000000172
7563929,,-,40000000173
7428302,,-,40000000174
7428315,,-,40000000175
7428301,,-,40000000176
7428308,,-,40000000177
7585002,,-,40000000179
7716901,,-,40000000180
8044102,,-,40000000181
8445101,,-,40000000182
7948329,,-,40000000183
6021217,,-,40000000185
6017917,,-,40000000186
88120101,,-,40000000188
7664918,,-,40000000190
340502,,-,40000000191
6718521,,-,40000000194
8018002,,-,40000000195
656101,,-,40000000196
771500,,-,40000000197
602300,,-,40000000199
627029,,-,40000000200
6346401,,-,40000000202
50101,,-,40000000203
260401,,-,40000000204
260407,,-,40000000205
260403,,-,40000000206
260405,,-,40000000207
260601,,-,40000000208
260801,,-,40000000209
261207,,-,40000000210
25201,,-,40000000211
222004,,-,40000000214
5077708,,-,40000000215
5077727,,-,40000000218
7010101,,-,40000000219
11900615,,-,40000000221
350200,,-,40000000247
351719,,-,40000000249
351100,,-,40000000251
390519,,-,40000000252
45203,,-,40000000258
   JS5014B96,,-,40000000262
8895080323,,-,40000000268
8896080301,,-,40000000269
96270578928,,-,40000000270
97870575401,,-,40000000272
5.05E+11,,-,40000000273
5.05E+11,,-,40000000274
5.05E+11,,-,40000000275
5216,,-,40000000276
6349801,,-,40000000289
6349827,,-,40000000290
6349828,,-,40000000293
11900616,,-,40000000296
330800,,-,40000000297
330500,,-,40000000298
331400,,-,40000000300
110521,,-,40000000301
6044301,,-,40000000302
78397801,,-,40000000303
61302801,,-,40000000304
31053301,,-,40000000305
781339515,,-,40000000306
781339516,,-,40000000307
131105511,,-,40000000308
301301,,-,40000000310
3260816,,-,40000000313
4250221,,-,40000000314
1530,,-,40000000317
45021,,-,40000000319
300121,,-,40000000321
805401,,-,40000000335
102315,,-,40000000340
222402,,-,40000000341
764801,,-,40000000346
120004,,-,40000000347
109301,,-,40000000353
109302,,-,40000000354
109916,,-,40000000355
109915,,-,40000000356
79716,,-,40000000357
79729,,-,40000000358
106903,,-,40000000359
107501,,-,40000000360
113519,,-,40000000361
113509,,-,40000000362
113527,,-,40000000363
71401,,-,40000000365
113219,,-,40000000366
98108,,-,40000000367
111701,,-,40000000368
111704,,-,40000000369
6017908,,-,40000000376
11435116,,-,40000000377
5102528,,-,40000000378
630010,,-,40000000380
635012,,-,40000000381
31111,,-,40000000383
31104,,-,40000000384
31116,,-,40000000385
167901,,-,40000000388
194801,,-,40000000389
194818,,-,40000000390
188003,,-,40000000392
197704,,-,40000000393
232500,,-,40000000395
352100,,-,40000000397
8392122,,-,40000000401
240330,,-,40000000404
240309,,-,40000000405
4822911,,-,40000000408
4823117,,-,40000000409
4843601,,-,40000000410
47798231,,-,40000000411
520518,,-,40000000418
408101,,-,40000000425
408119,,-,40000000426
530908,,-,40000000430
3199101,,-,40000000437
260411,,-,40000000439
261701,,-,40000000440
261807,,-,40000000441
1302801,,-,40000000442
1311201,,-,40000000443
1311228,,-,40000000444
793502,,-,40000000445
793529,,-,40000000446
791303,,-,40000000449
791218,,-,40000000450
804100,,-,40000000451
807107,,-,40000000457
792718,,-,40000000460
514407,,-,40000000462
107326,,-,40000000466
713528,,-,40000000468
2000900,,-,40000000470
9100,,-,40000000476
9100,,-,40000000477
90900,,-,40000000478
78900,,-,40000000479
4847901,,-,40000000481
4795801,,-,40000000482
107100,,-,40000000483
108900,,-,40000000484
346600,,-,40000000486
368200,,-,40000000488
460000,,-,40000000489
48000,,-,40000000491
48100,,-,40000000492
62900,,-,40000000494
626000,,-,40000000495
547100,,-,40000000497
404528,,-,40000000499
404530,,-,40000000500
404518,,-,40000000501
404527,,-,40000000502
404511,,-,40000000503
404501,,-,40000000504
413822,,-,40000000505
25029,,-,40000000507
233411,,-,40000000510
610607,,-,40000000513
1219011,,-,40000000514
661809,,-,40000000518
216529,,-,40000000520
545808,,-,40000000524
1121111,,-,40000000526
430400,,-,40000000528
431708,,-,40000000529
96440516711,,-,40000000531
9729017627,,-,40000000532
97930582423,,-,40000000533
5.05E+11,,-,40000000534
8895080301,,-,40000000535
85490553701,,-,40000000536
85490553719,,-,40000000537
9320080301,,-,40000000538
582718,,-,40000000541
1019501,,-,40000000544
31818,,-,40000000545
20818,,-,40000000546
713208,,-,40000000547
584909,,-,40000000553
124001,,-,40000000554
458807,,-,40000000555
321207,,-,40000000557
787119,,-,40000000560
470312,,-,40000000564
421801,,-,40000000565
420912,,-,40000000566
421912,,-,40000000567
511203,,-,40000000568
420322,,-,40000000569
420722,,-,40000000570
11916,,-,40000000571
11191601,,-,40000000572
188728,,-,40000000576
111916,,-,40000000577
9659016,,-,40000000582
9658009,,-,40000000583
9737001,,-,40000000584
50565016,,-,40000000585
50405021,,-,40000000588
50480007,,-,40000000589
20903007,,-,40000000590
20908016,,-,40000000591
20921009,,-,40000000592
20933001,,-,40000000593
20959002,,-,40000000595
60939019,,-,40000000596
150001,,-,40000000599
8095001,,-,40000000600
865402,,-,40000000612
202318,,-,40000000613
3022516,,-,40000000616
900721907,,-,40000000620
237300,,-,40000000623
     JS5916B,,-,40000000624
18001,,-,40000000625
2503,,-,40000000628
4027,,-,40000000629
1346616,,-,40000000630
16301108,,-,40000000632
79321,,-,40000000635
1354909,,-,40000000638
752400,,-,40000000640
706800,,-,40000000641
708300,,-,40000000643
33500,,-,40000000645
49500,,-,40000000648
54200,,-,40000000649
     LGX0300,,-,40000000653
900103,,-,40000000654
