UPC1,Descrption,Price,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor ,GR,GC,VR,VC
40000001376,,54,,,,,,0,1,0,0
40000001476,,20,,,,,,0,1,0,0
40000001492,,16,,,,,,1,0,0,0
40000001492,,16,,,,,,1,0,0,0
40000001492,,16,,,,,,1,0,0,0
40000001492,,16,,,,,,1,0,0,0
40000001492,,16,,,,,,1,0,0,0
40000001492,,16,,,,,,1,0,0,0
40000001492,,16,,,,,,1,0,0,0
40000001492,,16,,,,,,1,0,0,0
40000001492,,16,,,,,,0,1,0,0
40000001494,,12,,,,,,1,0,0,0
40000001494,,12,,,,,,0,1,0,0
40000001526,,69,,,,,,1,0,0,0
40000001526,,69,,,,,,0,1,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,1,0,0,0
40000001590,,59,,,,,,0,1,0,0
40000001664,,12,,,,,,0,1,0,0
40000001719,,15,,,,,,1,0,0,0
40000001719,,15,,,,,,1,0,0,0
40000001719,,15,,,,,,1,0,0,0
40000001719,,15,,,,,,0,1,0,0
40000001851,,69,,,,,,1,0,0,0
40000001851,,69,,,,,,1,0,0,0
40000001851,,69,,,,,,1,0,0,0
40000001851,,69,,,,,,1,0,0,0
40000001851,,69,,,,,,1,0,0,0
40000001851,,69,,,,,,0,1,0,0
40000001857,,42,,,,,,0,1,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,1,0,0,0
40000001873,Scoop Neck Tee,12,Apparel,Top,,,,0,1,0,0
40000001938,,14,,,,,,1,0,0,0
40000001938,,14,,,,,,1,0,0,0
40000001938,,14,,,,,,1,0,0,0
40000001938,,14,,,,,,1,0,0,0
40000001938,,14,,,,,,0,1,0,0
40000001940,,34,,,,,,1,0,0,0
40000001975,,18,,,,,,0,1,0,0
40000002008,,18,,,,,,0,1,0,0
40000002012,,56,,,,,,0,1,0,0
40000002290,Asymetrical Tunic,58,Apparel,Top,,,,0,1,0,0
40000002418,,74,,,,,,0,1,0,0
40000002420,,64,,,,,,1,0,0,0
40000002420,,64,,,,,,0,1,0,0
40000002511,,42,,,,,,0,1,0,0
40000002551,,35,,,,,,1,0,0,0
40000002551,,35,,,,,,1,0,0,0
40000002551,,35,,,,,,1,0,0,0
40000002551,,35,,,,,,0,1,0,0
40000002568,,26,,,,,,0,1,0,0
40000002670,,20,,,,,,0,1,0,0
40000002671,,64,,,,,,0,1,0,0
40000002716,,54,,,,,,0,1,0,0
40000002780,,16,,,,,,0,1,0,0
40000002928,,74,,,,,,0,1,0,0
40000002945,,39,,,,,,0,1,0,0
40000002947,,69,,,,,,0,1,0,0
40000002948,,69,,,,,,1,0,0,0
40000002948,,69,,,,,,1,0,0,0
40000002948,,69,,,,,,1,0,0,0
