Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"3,338",94.73%,"3,162",63.12%,1.87,0:00:45,0,3338.00 ,0.00%
United States,"2,076",93.55%,"1,942",57.76%,2.1,0:00:50,0,2076.00 ,0.00%
United Arab Emirates,371,97.04%,360,57.68%,1.6,0:00:49,0,1371.00 ,0.00%
United Kingdom,237,88.61%,210,54.85%,2.32,0:01:00,0,1237.00 ,0.00%
Germany,144,93.06%,134,57.64%,1.92,0:01:44,0,1144.00 ,0.00%
Sri Lanka,123,95.93%,118,59.35%,1.94,0:01:00,0,1123.00 ,0.00%
(not set),104,94.23%,98,66.35%,1.41,0:00:21,0,1104.00 ,0.00%
France,91,91.21%,83,60.44%,2.41,0:00:57,0,1091.00 ,0.00%
Indonesia,91,96.70%,88,64.84%,1.88,0:00:49,0,1091.00 ,0.00%
Brazil,90,92.22%,83,77.78%,1.66,0:00:58,0,1090.00 ,0.00%
Iran,90,92.22%,83,41.11%,3.39,0:01:25,0,1090.00 ,0.00%
Pakistan,90,95.56%,86,54.44%,2.33,0:01:03,0,1090.00 ,0.00%
Netherlands,88,85.23%,75,62.50%,2.74,0:01:17,0,1088.00 ,0.00%
Canada,87,88.51%,77,47.13%,4.39,0:01:31,0,1087.00 ,0.00%
Australia,83,68.67%,57,40.96%,1.71,0:03:19,0,1083.00 ,0.00%
Italy,72,83.33%,60,44.44%,3.26,0:03:44,0,1072.00 ,0.00%
Sudan,70,95.71%,67,64.29%,1.54,0:00:25,0,1070.00 ,0.00%
Russia,68,83.82%,57,57.35%,3.38,0:01:20,0,1068.00 ,0.00%
Spain,66,81.82%,54,54.55%,2.94,0:02:56,0,1066.00 ,0.00%
Egypt,65,95.38%,62,46.15%,2.78,0:01:13,0,1065.00 ,0.00%
Mexico,65,89.23%,58,55.38%,2.42,0:02:29,0,1065.00 ,0.00%
Algeria,60,93.33%,56,41.67%,2.38,0:00:52,0,1060.00 ,0.00%
Bangladesh,57,96.49%,55,57.89%,2.39,0:00:49,0,1057.00 ,0.00%
Turkey,53,92.45%,49,50.94%,2.17,0:00:49,0,1053.00 ,0.00%
Kenya,51,98.04%,50,78.43%,1.45,0:00:21,0,1051.00 ,0.00%
,"8,816",93.33%,"8,228",59.45%,2.12,0:00:59,0,9816.00 ,0.00%
