Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
India,"3,135",95.37%,"2,990",61.82%,1.98,0:00:46,0,3135.00 ,0.00%
United States,"1,951",94.26%,"1,839",57.82%,2.28,0:00:57,0,1951.00 ,0.00%
(not set),404,98.51%,398,85.64%,1.11,0:00:04,0,1404.00 ,0.00%
Malaysia,314,96.18%,302,73.89%,1.52,0:00:24,0,1314.00 ,0.00%
United Kingdom,271,81.18%,220,48.34%,2.24,0:01:32,0,1271.00 ,0.00%
United Arab Emirates,232,94.40%,219,54.74%,1.67,0:00:23,0,1232.00 ,0.00%
Indonesia,150,96.67%,145,72.67%,1.66,0:00:34,0,1150.00 ,0.00%
Germany,139,88.49%,123,54.68%,2.12,0:00:38,0,1139.00 ,0.00%
Sri Lanka,128,90.62%,116,50.00%,2.43,0:00:55,0,1128.00 ,0.00%
Canada,98,78.57%,77,39.80%,1.97,0:01:36,0,1098.00 ,0.00%
France,95,83.16%,79,51.58%,2.72,0:01:40,0,1095.00 ,0.00%
Pakistan,95,90.53%,86,48.42%,2.42,0:01:05,0,1095.00 ,0.00%
Bangladesh,79,100.00%,79,48.10%,2.87,0:00:38,0,1079.00 ,0.00%
Brazil,75,85.33%,64,48.00%,3.21,0:02:40,0,1075.00 ,0.00%
Iran,67,89.55%,60,49.25%,2.3,0:01:17,0,1067.00 ,0.00%
Sudan,66,95.45%,63,65.15%,1.68,0:00:36,0,1066.00 ,0.00%
Turkey,63,87.30%,55,50.79%,3.13,0:00:56,0,1063.00 ,0.00%
Algeria,62,85.48%,53,51.61%,2.29,0:01:02,0,1062.00 ,0.00%
Egypt,62,85.48%,53,54.84%,2.44,0:01:38,0,1062.00 ,0.00%
Mexico,59,94.92%,56,59.32%,2.15,0:00:50,0,1059.00 ,0.00%
Netherlands,59,86.44%,51,49.15%,2.02,0:01:24,0,1059.00 ,0.00%
Spain,56,83.93%,47,51.79%,1.98,0:02:01,0,1056.00 ,0.00%
Australia,51,88.24%,45,35.29%,2.41,0:00:52,0,1051.00 ,0.00%
Philippines,49,100.00%,49,71.43%,2.06,0:00:34,0,1049.00 ,0.00%
Poland,48,89.58%,43,52.08%,2.31,0:00:29,0,1048.00 ,0.00%
,"8,847",93.23%,"8,248",59.47%,2.09,0:00:52,0,9847.00 ,0.00%
